,1,0,time,comments_num
0,"1％的包容 1％的宠爱 1％的陪伴 1％的贴心 1％的想念 1％的理解 1％的懂你
剩下93％是信任、忠诚
",16万,2月16日 10:51,88991
1,"我将是一个好女孩 气质出众 成绩拔尖 未来一片光明
",13.8万,3月12日 15:27,88991
2,"2020.2.14 ❤️❤️❤️
",61680,2月14日 18:10,88991
3,"上帝创造世界用了7天，第7日安息
",37306,2月14日 18:21,88991
4,"这是在说我们的数学作业只写了7%吗？
",35180,2月28日 16:40,88991
5,"我喜欢的人推了这首歌给我
",26098,4月21日 00:02,88991
6,"""把亮度调到最小，把声音开满的女/男孩子一定爱惨了那个人。""
",16021,2月27日 10:57,88991
7,"就算还有7%的电，也不能阻碍我去爱你
",14924,2月27日 10:01,88991
8,"泡泡机自己买的，快乐也是自己找的
",14319,2月27日 08:43,88991
9,"SOURCEMUSIC和WU会再接再厉，制作更多用心的作品，回馈大家的支持。谢谢。
",13325,5月2日 12:16,88991
10,1、 音乐由七个音阶构成,11059,5月23日 07:31,88991
11,"1％的包容 1％的宠爱 1％的陪伴 1％的贴心 1％的想念 1％的理解 1％的懂你,剩下93％是信任、忠诚.
",10542,5月5日 12:24,88991
12,"下面有个人说7%遇到你93%来爱你
",9390,5月2日 21:42,88991
13,"首先谢谢大家对歌曲的喜爱和对XMASwu的支持，我是歌曲BEAT的作者，源力音乐SOURCE MUSIC的Viking。近期使用消音伴奏的小伙伴们越来越多，足见大家对歌曲的喜爱和认可，谢谢大家，但是本歌曲使用的伴奏BEAT是我发布在网易云的FREE BEAT SCHOOLMATE，MY broXMASwu是已经取得了个人使用的权限，
",7275,5月2日 12:13,88991
14,"AWM是一把狙击枪，威力很强并且比较稀少，意思是“你是我的可遇不可求”一部耽美小说的名字就是《AWM绝地求生》
",6715,7月29日 14:27,88991
