,1,0,time,comments_num
0,"哪个刁毛把它放进催眠歌曲单的？
",18237,8月4日 12:31,13576
1,"不好意思 真有女孩听这种歌
",6384,7月29日 21:50,13576
2,"这种歌是什么风格👌🏿我真的爱死了
",5041,7月20日 13:15,13576
3,"刚刚在地铁上不小心吐了一口痰，发现一个外国妞用异样的眼光看着我，为了不给咱们中国人丢脸，我说了一句‘八嘎’。
",4933,9月20日 02:46,13576
4,"医生: 保大保小
丈夫",3282,9月23日 17:04,13576
5,"太燃了，老子听着这首歌一口气撕了8张试卷、删了3篇论文、拉黑了9个老师，最后拉黑班主任的时候还骂的一句脏话......，看，我一点事也氵
",2305,9月19日 11:20,13576
6,"听说酒吧蹦迪穿的衣服越奇怪越能吸引小姐姐，我打算买套袈裟去蹦迪。
",2175,9月17日 00:04,13576
7,瑶,1623,9月16日 16:51,13576
8,"最喜欢这首歌了，每次去ktv必唱
",1528,9月20日 23:10,13576
9,"熊二∶熊大，这个鱼真好吃。
熊大∶嗯嗯，鱼烤着就是好吃。
光头强∶太饿了，要不然去钓鱼吧。
熊二∶熊大你看！光头强在钓鱼！
熊大∶可恶的光头强！又在欺负小动物！
",1264,10月21日 17:57,13576
10,"丈夫:你想被砍右腿还是左腿
医生:我想想
丈夫:逗你呢，两个都砍
",902,9月30日 09:24,13576
11,"《董小姐》宋冬野
《佳人》鬼卞
《莹火》邓紫棋
《我曾》隔壁老樊
《对心》赵粤
《你走》松紧先生
《不染》毛不易
《仅有》欣男
《仅你》钟慧敏
《是你》TFBOYS
《喜欢》阿肆
《欢沁》林海
《呐》
仔细看，你会发现一个关于我的秘密💓
",847,10月4日 01:12,13576
12,"要是我女朋友有这品味，我直接吹爆。
",847,9月22日 05:31,13576
13,"网易用户不是你们好骗的，去其他音乐骗骗说不定还可以
",727,8月6日 10:17,13576
14,"京中有善口技者
",641,9月27日 14:44,13576
