,1,0,time,comments_num
0,"Hey，半年好久，但深刻烙在我心里。我夜晚经常在宿舍阳台一发呆就是几个小时，想着那么多曾经触手可及的东西好像离我已经越来越远了。现在我回来了，我为我能继续做自己喜欢的事而自豪，我为我能继续做自己而骄傲，在这件事上我从来都是那么的笃定。即便我是个消化系统不太好的人，但我快乐。
",11.5万,7月1日 13:31,48727
1,"想起两年前还不懂说唱时 听到的那首《PUMA》 现在女孩毕业了 长大了 祝她快乐 bullsnineone
",53158,7月1日 23:57,48727
2,"你说“不是逢人苦誉君 亦狂亦侠亦温文”
你说“少年与爱永不老去 即使披荆斩棘丢失怒马鲜衣”
很开心能在2020年春夏遇见你喜欢你
I see nobody but u
I feel nobody but u
The voice of 91是救生衣💚
",29321,7月1日 12:00,48727
3,"少年与爱，永不老去！即便披荆斩棘，丢失怒马鲜衣！欢迎歌手乃万回归！
",8777,7月1日 12:00,48727
4,"关于 NINEONE# 💚
第一眼惊艳
第二眼沦陷
第三眼不负遇见 I see nobody but U.
I call it something wrong.
",8349,7月1日 13:23,48727
5,"请问这一整首歌都是乃万唱的吗？
",8057,7月3日 19:08,48727
6,"你好，我用陶白比喻了一下眼白的部分。瞳孔躺在陶白想表达的意思就是黑白透彻深邃无比的眼眸。
",6556,7月10日 08:29,48727
7,"💚 你在台上发光 我在人海点灯💚𝐍𝐈𝐍𝐄𝐎𝐍𝐄这个夏天最开心的事就是遇见你宝贝I feel nobody but you.
",5545,7月1日 12:00,48727
8,"关于乃万有多可爱这件事我可以一一细数至天明，每个点都能让我和「喜欢」发生共鸣，层层叠叠累积成一场电影，剧情前进着给我指引，热情在里程里累计。剩下的百分之九不是遗憾不用填满，是未知的空旷，永远在吸引我。
",4775,7月1日 12:00,48727
9,"我好像知道是写给谁的了...爱真好啊
",4241,7月3日 22:14,48727
10,"这首歌不拿去欧美打榜可惜了
",3975,7月2日 17:44,48727
11,"我是新粉，请问她一直唱的这么好听吗？
",3742,7月1日 19:01,48727
12,"姐姐，喜欢乃万这件事真的好幸福，这份爱从来不是单向的，姐姐说“每当你说乃万i love you的时候，我会回应的，我会说i love you🐰”姐姐，你就做自己吧，奇怪点也没关系，和别人不一样也没关系，奶粉永远支持你，“如果不想改变的话，请你不要改变”
",3734,7月1日 12:00,48727
13,"不是 前半是赵馨玥 后半段是赵辉 只有和声部分是乃万自己【dog】
",3477,7月6日 07:47,48727
14,"除节目后这么短时间出了一首情歌，万万子是在节目里遇到了爱情吗
",3392,7月1日 18:14,48727
