,1,0,time,comments_num
0,今天看到的一段话,16.1万,2019年6月2日,120251
1,"曾经我把你推远 当我再想呼喊你名字时你早已消失在人海
",15.2万,2018年12月26日,120251
2,"挺喜欢你的 但你总让我不开心
",14.9万,2019年7月13日,120251
3,"早恋这种东西 倘若你没本事带着对方往更好的方面发展 就请收起你所谓的喜欢和爱 别再出来祸害人了 我们都怀有理想和爱 如果不能一起进步 烦请你别拉着对方往下滑 对方在还努力的时候 假若情绪消极 很可能会毁了这一生 反正世间叵测 褒贬你随意
",94849,2019年5月16日,120251
4,"今天格外冷清，窗外下起了小雨，望着窗外每天长高的大楼，眼里充满了麻木，还不完的房贷，加不完的996，孩子上学户口问题，外面的雨又大了一点。点起了一根烟，长吸一口。猛然想起，那年18，那场班级篮球赛，那个马尾辫的女孩，那个真正活着的我
",61629,2019年10月9日,120251
5,"有些人只是隔着手机屏幕喜欢一个人
",54448,2019年2月27日,120251
6,"人会因为嘴硬失去很多东西吧 
",50033,2019年6月8日,120251
7,"后来有无数个需要你的时刻 都是我用眼泪换来的
",36654,2019年2月26日,120251
8,"热脸贴冷屁股的事情再也不要去做了
",35217,2019年10月8日,120251
9,"危险是你 新奇的一切也是你 我吻你 像事先商量好的决定 吻过就不再迷恋你
",26597,2018年10月14日,120251
10,"每天可以草草吃点，衣服可以任意搭配，计划可以随时更改，什么都可以很随便。唯独关于你，字句斟酌，或良久沉默，都不是敷衍
",24956,2018年11月17日,120251
11,"我也想與你一吻永恆 我的海洋戀人
ɪ ᴡᴀɴ'ᴛ ᴛᴏ ᴋɪss ᴜ ғᴏʀᴇᴠᴇʀ ᴍʏ ᴏᴄᴇᴀɴ ʟᴏᴠᴇʀ
",18845,2019年6月24日,120251
12,"I would kiss you till the end of time.
",13902,2019年1月21日,120251
13,"想和你旁若无人的接吻 但是你已经沉溺在别人的爱里 再也不存在
",12391,2019年7月8日,120251
14,"Kina - Can We Kiss Forever?(feat. Adriana Proenza) 已上传
",8073,2018年9月3日,120251
