,1,0,time,comments_num
0,"你的爱 像是备胎弄的咖啡 
",13.5万,2015年7月7日,75774
1,“Dear John”成为一个大众词汇是在第二次世界大战的时候。男人们应征入伍，留下了他们的妻子或女朋友。由于常年在外征战，他们的情人纷纷移情别恋，另寻他人。这样的绝交信往往以“Dear John”来称呼绝交对象。信的开头一般也是固定的,68004,2016年6月2日,75774
2,"眼泪是真的，心酸是真的，想和你在一起一辈子也是真的。愿孤单的人不必逞强，愿逞强的身边永远有个肩膀，愿肩膀可以接住你的欢喜哀伤，愿有情人永生执手相望。愿你爱的人，最后都能成为你的爱人。
",41817,2015年6月30日,75774
3,"比莉，1952年1月27日出生于中国台湾。
1975年，她在美国巡演4年，是华语歌手在美国开巡回演唱会第一人。1991年，迈克·杰克逊到台湾举行个人演唱会，邀请她当嘉宾！别问我怎么知道的 度娘！送我上去 看看多少人听过她的歌！
",33549,2016年11月23日,75774
4,"网易一定要和Songtaste合作，Songtaste上面好歌太多了
",19562,2015年2月26日,75774
5,"年纪越大越会明白，少年时曾说过的话，不管多么情真意切，最后也终流于天真，但是有什么关系呢，那不代表它们就是谎言。我是真心希望，如你所言，在我之后，你再没有不能失去的东西。而我再爱上的人，也无一人像你一分。只愿你平安喜乐，愿我们今生，天涯永不再相见。
",15314,2016年8月23日,75774
6,"你的爱会将我灌醉 太过清醒怎么陶醉
",13521,2015年6月10日,75774
7,"难以置信，网易上有好多songtaste上特推的歌曲！大爱谢谢网易！这些歌曲资源太少了！
",11190,2015年1月19日,75774
8,"实则大多数人像你这样活着，成功与岁数无关，有人四十岁成功有人五十岁成功还有人七十岁才成功，他们成功的前提是三十岁时没有放弃。加油
",10089,2016年10月4日,75774
9,"眼泪是真的，心酸是真的，想和你在一起一辈子也是真的。愿孤单的人不必逞强，愿逞强的身边永远有个肩膀，愿肩膀可以接住你的欢喜哀伤，愿有情人永生执手相望。愿你爱的人，最后都能成为你的爱人。
",8893,2015年10月18日,75774
10,"2017年11月17日22点04分，22岁的我一个人坐在电脑前听着网易云，拿着不到1000的工资，没有房没有车，更不敢去喜欢一个人，看不到希望，背负了很多，但是我还是对生活充满希望！加油！每一个人
",6157,2017年11月17日,75774
11,"是一个男孩子最爱听的歌 那天下午，烈日炎炎，我们在亲吻缠绵后，你坐在窗户边靠着椅子放着这首歌，两个人抽着烟听着歌，那一刻我听到心里的声音是永远。明天就要离开西安了，昨晚做梦梦见你就坐在我们宿舍楼下的小亭子，我问你那句想你是不是在说我 你说别走。“你的爱将我灌醉，我没有所谓”lyf
",5328,2017年7月8日,75774
12,"爱的区别在于，你给妈妈发信息，她没回，你觉得没什么，因为你确定她爱你。你给对象发信息，她没回，你会心慌，因为你不确定TA爱你
",4861,2019年1月9日,75774
13,"大学时，宿舍有免费座机
屌丝室友天天和他女朋友打电话
一直聊天聊到半夜，吵的大家都睡不着
于是后来一个晚上，我们偷偷把网线剪断了，可他，还是聊到半夜
",4239,2019年4月10日,75774
14,"分手时，她带走了我所有的口罩。
",3971,2月14日 11:38,75774
