,1,0,time,comments_num
0,"冷酷又忧郁
",10.3万,2019年6月28日,74019
1,"开始伴着哼唱的旋律，带着一种吸引，虽然歌词中唱着Yelling at the sky（仰天长嘶），但却没有声嘶力竭的呐喊，Sasha Sloan像是在叙说着某件平常的事情，I stay up all night伴随着鼓点才把人真正带入这首歌真正的意境。#哇哦计划#
",223,11月13日 20:39,74019
2,"夜晚真的太感性了 差点冲昏头脑说想你了
",82560,2019年11月10日,74019
3,"毋庸置疑，好的事情总会到来，而当它来晚时，也不失为一种惊喜。 — —《托斯卡纳艳阳下》
",70152,2019年6月28日,74019
4,"第一次翻译 献给喜欢的Sasha
",46929,2019年6月30日,74019
5,"“我不是来救你的，我是来爱你的”
",34736,2019年11月3日,74019
6,前奏,29791,4月29日 17:36,74019
7,"其实我偷偷存了你发的每一张照片，每一个视频，保存了每一句语音。我关注了你的各种社交软件ID，听过你喜欢的歌单。其实，我远比你想象的更加爱你，我忘不掉，我也不会说。最后的尊严是不再低头了哈哈哈…好像这辈子也只挽留过这一个人，以后也不会有了，我这么酷的人呀，怎么可能让这种事发生第二遍呢
",20026,2019年11月16日,74019
8,"骚姆:与陌生人共舞
萨沙:与你的灵魂共舞
在夜里安抚无处安放的灵魂。
",14322,2019年6月28日,74019
9,"如果晚几年遇见你，可能结果会不会一样吧，我有出息了，你也准备好了。[微笑]
",13482,2019年9月30日,74019
10,"这曲子中文名是不是，和你这个死鬼跳舞
",8893,3月28日 14:52,74019
11,"缠绵又旖旎
",6170,2019年7月24日,74019
12,"以翔我们江湖再见，
goodbye Godfrey,
再见王沥川，
愿安好人间天使🙏🙏🙏
",5422,2019年12月9日,74019
13,"麻烦各位新生开学的时候，学妹的行李箱里可以少装一点东西吗？学长只是单纯想认识你，并不是想把命搭在楼梯上。
",5120,8月29日 15:29,74019
14,"亲爱的Godfrey
你所有的行李都收拾好了吗？明天就要远游了，这一走就是28年，走的时候千万不要回头，向着有光的地方走，放心做你的天使吧！👼
Godfrey向着有光的地方飞，別回头。大家都爱你，也很想你，纵有千般不捨，还是希望你能抵达彼岸，所以別回头哦！🌈
",3951,2019年12月14日,74019
