,1,0,time,comments_num
0,"比孤独更可悲的事情，就是根本不知道自己很孤独，或者分明很孤独，却把自己都骗得相信自己不孤独。——江南 《龙族》
",16.8万,2017年3月25日,67135
1,"中国的很多歌曲都是唱着爱情，谈生活谈理想的缺很少，忽然想起为什么这一代人很多都喜欢网易云。网易云很多都是国外的歌，而国外的歌很多都是唱着生活，理想奋斗，这也是我喜欢电音的理由。
",12.4万,2017年3月29日,67135
2,"平行线是很恐怖的，因为永远不会相交。相交线是最恐怖的，因为相交过后越行越远。
",96546,2017年12月2日,67135
3,高三了，最后一次分班，从实验班跌落到普通班，因为不努力，因为自作聪明。四周人的想法和眼光我不想了解，我只想告诉自己,51818,2018年8月11日,67135
4,"ILLENIUM全新单曲""Fractures""已上线~ 这也是ILLENIUM在今年的第一首新歌，今年也注定是ILLENIUM不平凡的一年！
",29044,2017年2月5日,67135
5,"听过三次illenium的现场，都是一个人去的，希望有一天可以找到一个和我一样爱illenium的人
",24505,2017年2月5日,67135
6,"越是卑微
越是强大
",23492,2018年1月11日,67135
7,"“与人相处最怕的就是:你不相信你眼中看到的我，却相信别人口中的我。”----宫崎骏
",20214,2019年3月10日,67135
8,"六月和他在一个考场
考了个很好的成绩，七月和他考上了一个学校
九月，校门口一句好巧
喜事
",16452,2019年4月6日,67135
9,"我不断努力，只为在你最危险的时刻挺身而出做你的超级英雄
",14761,2017年3月28日,67135
10,"美国制作人ILLENIUM近日联手女声Nevve发布单曲Fractures，一直以来，Illenium以流畅的低音及迷人的旋律俘获了很多电音听众，本首Fractures融入电吉他演奏，与动听的女声结合，加上歌词描绘的毅力和青春，好听的同时正能量满满，让人感受到奋斗与坚持不懈的动力。
",13011,2017年2月9日,67135
11,"比孤独更可悲的事情，就是根本不知道自己很孤独
",12308,2017年2月5日,67135
12,"我想成为一个温柔的人，因为曾被温柔的人那样对待，深深了解那种被温柔相待的感觉。 ——绿川幸《夏目友人帐》
",10422,2019年6月8日,67135
13,"反比例函数了解一下，无限接近x、y轴，永远不能相交。这才恐怖好伐，一辈子的备胎……
",9142,2018年12月23日,67135
14,"真正孤独的人不是那些天天唱着流行情歌的人，而是喜欢听电音的人，他们用电音的激情与疯狂麻醉自己，忘却孤独
",8250,2017年3月26日,67135
