,1,0,time,comments_num
0,"很好听
",13.2万,2019年8月13日,50296
1,"#硬地原创音乐榜#「10月最佳专辑」一年时间的打磨，不过火，不炫技，刚刚好，每首歌都有好听的hook，通过标志性的聪式嗓音露出oldschool的街头风，是近年来流行说唱专辑佳作。——阿庆@与非门乐队
",360,11月10日 11:38,50296
2,"各位稍安勿躁 新版本正在替换 
",83883,2019年8月13日,50296
3,"我真的听这首听炸了
",77699,2019年8月14日,50296
4,"大傻:刘聪经常一个人在房间里自己给自己写信[多多大笑]
",36781,2019年8月13日,50296
5,"hey kong 你知道吗 你的服装店没有叫purple rain 而是叫BANG 你也没有一直叫kong 你改名叫key.l 上大本营的时候还说可以叫你关键 后来我们都说你是我们的钥匙 新的一岁希望你不知在我们的耳机里流通 我还要把你外放 让你在我身边每一个角落流通
",28580,2019年8月13日,50296
6,"十年前的夏天我拿着十块钱去了南门口，买到了原价二十五的人生第一张唱片，“刘聪哥哥，我只有十块钱，你看行不行啊？”
“这么小就听我们歌啊，好啊，欢迎常来玩。”
",28418,2019年8月13日,50296
7,"关于之前的HEY KONG我认个错 你们之前听的版本不是正常母带的版本 因为工程繁琐 疏忽导致整个轨道都是爆的 现在已经正常了 Prod by 我 抱歉大家
",13414,2019年8月13日,50296
8,"艺考唱的这首歌，拿了全省第一名
",10512,6月23日 09:56,50296
9,"乐姐:
“起来了咧，再不起来就迟到了”
“每天就知道睡，晚上不睡觉白天就没精神”
“（没听清），快点快点咯，你看楼上木木鸟？大早就出门了！你怎么得了咯，你还读什么书咯，快点快点起床咯！”
妈妈的口吻差不多都这样的:)
",9054,2019年8月13日,50296
10,"🎂聪别生日快乐！希望这首能破万 我不想读书了，可我得给父母一个交代
我不想读书了，可我不想辜负11年的努力
还有299天高考，最后的这段日子要付出百分之一万的努力
吃别人吃不了苦才能比别人更优秀
高考完要不留遗憾的去长沙看一场cb现场
祝傻别拿下新说唱冠军
——2019.8.13
",9016,2019年8月13日,50296
11,"聪别生日快乐！ 你的歌如货币般流通！ 你是我们最爱的刘聪！
",7910,2019年8月13日,50296
12,"你要好好读书
去理想的大学
在那个城市等你喜欢的rapper来演出
和你喜欢的男孩一起去吧
要时常给爷爷奶奶爸爸妈妈打电话
不要忘记运动
来自十五岁的张彤
2019.8.13留
",7724,2019年8月13日,50296
13,"没听清的那句是 你门口有一封信
",7664,2019年8月14日,50296
14,"你的歌也很好听
",5735,2019年8月13日,50296
