,1,0,time,comments_num
0,"没事没事 不管你是从哪来的 谢谢你 请多多支持我的作品 
",47.4万,2018年7月8日,121029
1,"别隔着屏幕对一个人产生感情.
",26万,2018年2月2日,121029
2,"吃得苦中苦 睡得心上人
",18.9万,2018年1月11日,121029
3,"往後的日子都是嶄新的了 別再回頭看了
",84387,2018年1月4日,121029
4,"也说不出为什么我好像没那么喜欢你了
",76592,2018年1月29日,121029
5,"那天我看向你 山河都在我眼底
",50381,2018年4月5日,121029
6,"从不试图摘月，
我要这月亮为我而来。
",45999,2018年8月23日,121029
7,"就凭你打的字比他多的那一刻你就输了
",37550,2018年12月30日,121029
8,"我的小熊说它真的很想见你 对了 我也是
",36382,2018年2月8日,121029
9,"感情杀死感情 现在寸步难行
",28773,2018年3月6日,121029
10,"从你的种种表现对你已经没兴趣了
",22391,2018年2月17日,121029
11,jony j,22156,4月3日 19:56,121029
12,"中间的那个旋律简直好听到爆
",21235,2018年12月9日,121029
13,"请问这首歌是乃万原创吗？
",17908,4月13日 20:07,121029
14,"我早上6.30.上课，9.20.下晚自习，中午还是上课，没有休息的时间的...晚上回家写到12.00.睡觉，5.又起床，星期六也是要上课的，在学校也是作业写个不停。。真的，每次都感觉手要废了的感觉。。可是为了以后，不丢人，不想进差的高中，只有努力，加油，让自己变得更好，致2019.中考的我，加油！
",17656,2018年12月23日,121029
