,1,0,time,comments_num
0,"「今でもあなたは私の光。」如今你依旧是我的光。
",68.8万,2018年2月12日,291457
1,"为什么中堂医生经常躺在解剖台上休息，因为那是他的爱人最后完整存在的地方。
",67.4万,2018年2月12日,291457
2,"特别喜欢日剧的一个原因 大概就是它帮你认清生活的真相之后 依然教会你如何热爱生活
",56.1万,2018年2月21日,291457
3,"ep4。这首歌响起的时候是夜里绽放的烟花。是父亲拼命赶回家的身影。是依偎在窗边等待家人的亲人。是无良社长打翻的幸福蛋糕。是我哇的一声哭出来
",40.9万,2018年2月12日,291457
4,"即便被压榨拿着微薄的工资超负荷劳动，在最后望向烟花和自己的妻子儿女时，也会因为“努力守护着自己的家人”而感到幸福满足。
漫天绚烂的烟花，在头顶炸开成虚幻和遥远的美丽，社长家中狂欢不止，打翻的幸福蛋糕，倒下的疲惫身躯，八爷lemon的神插入，直戳泪点
",32.6万,2018年2月12日,291457
5,"「 将生活带给你的如柠檬的酸楚 酿成犹如柠檬汽水味般的甘甜 」
",25.8万,2018年2月12日,291457
6,"每次「非自然死亡」最后，八爷的lemon响起，或感动，或热血，看三澄眼睛里亮晶晶的，我泪腺也会跟着很发达。还有中堂系真的好颓啊，但软下来说帮帮他的时候又好可爱。雪花飘落了，你有找到照亮你的人吗。
",19.4万,2018年2月12日,291457
7,"Lemon之于unnatural 就如同Silly之于为了N吧
",11.5万,2018年2月12日,291457
8,"听着这首曲子，感觉就像穿过一条幽暗且漫长的隧道，暗想着前方究竟是救赎自我的光芒，还是玩弄人心的夜灯。但无论是怎样的末尾，我依旧怀揣着""期盼着幸福""这样的心灵，当全曲的高潮浮起，那道光芒就在隧道的前端，我睁开了双眸，张开了双臂，淹没在了光芒之中。
",11.3万,2018年2月12日,291457
9,"你是满船的烟波，你是海底的星河。
",11万,2018年2月12日,291457
10,中堂和三澄完全是两个世界的人吧，ep5的时候，三澄如释重负地说,86929,2018年2月12日,291457
11,"三澄的人格魅力恰恰在她的基调是苦涩的，一个懂得规则的人的坚持是尤为可贵的。哪怕平和的性格也不再乏味，相反可以想象她在职业生涯中做出过多少的让步，想象到一次次绝望到无以复加但是生活还是要继续下去的时刻。
把酸涩的柠檬变成甜甜的柠檬汽水，最后表白一下八爷！真的超级喜欢
",74028,2018年2月12日,291457
12,"因为lemon去追了unnatural 半夜一个人熬夜看哭 现在终于翻唱了这首歌 虽然不及原唱 但还是很喜欢这首歌啊。
",66393,2018年5月1日,291457
13,"“我以前是消防员。是我教他绑绳子的。三郎他还记得呢。”
",56644,2018年3月3日,291457
14,"最初知道八爷还是各种v曲，现在变化真的好大。八爷被越来越多的人喜欢，隐隐有种珍藏心底的东西被发现的难受，新歌这么快就破千了这家伙真是太美好了❤️❤️
",48375,2018年2月12日,291457
