,1,0,time,comments_num
0,"哪有那么多烂道理 我觉得值就继续
",22.4万,2019年11月20日,158821
1,"今年准备参军，报的边防。不是义务兵，希望自己成功。退伍了我就去考一个消防员。祝我成功！！！
",19万,5月10日 21:05,158821
2,偶然在一个唱聊房主的房间里听到了这首歌，等回过神来时，歌曲已经播放完毕了，等我反应过来的时候，歌已经换掉了，房主也找不到了，只记得一点旋律，可惜哼唱识曲没用🙈，于是，我开始在房主3202首我喜欢里一首一首的找，从23,11万,4月27日 09:03,158821
3,"身处低谷的人看谁都像救赎
",43615,2019年11月23日,158821
4,"一天父亲喝醉了回家对我说“你以后要是养不起我了 往爸酒里下点药 爸一定喝。”
",26346,6月30日 17:22,158821
5,"第一次傻傻的为一首歌熬夜，发条评论纪念一下！愿每一份坚持最后都会有结果❤️
",21395,4月27日 09:04,158821
6,"听进心里了
",17835,2019年11月13日,158821
7,"歌名直译是:爱消失了
有没有语文课代表来整个文艺的[西西机智]
",11671,6月24日 23:14,158821
8,"I can't breathe
I'm so weak
I know this isn't easy
我不能呼吸了，求求你别杀我…
一个黑人被白人警察跪压致死
为什么会这样？
",10030,6月3日 19:53,158821
9,"初一上册时许多女生都很喜欢我，突然有一天一个女生向我表白，却被我当着许多人的面给拒绝了，下册时我看到了她每天都趴在她们班偷偷地向我们班看，一开始我不知道，后来我们班的人都给我说她一直在向我们班看，每节课下后都是如此，当时以为她还是很喜欢我，就相继每节课下后看向她们班，星期五早上时
",8315,6月20日 23:43,158821
10,"我曾也是数学物理老师手里的王牌……
",6477,7月3日 13:00,158821
11,"“我记得刚认识的时候能聊上一个晚上”
",6339,8月26日 18:37,158821
12,"妈的 分手就分手 你居然去蚂蚁庄园揍我的鸡？ ？ ？
",6149,10月25日 22:54,158821
13,"“下辈子想做水母，没有心脏，每天在海里漂游发呆，死后变成水，不留一点痕迹.
",5985,8月21日 23:25,158821
14,"不爱了就是不爱了 还需要温柔么
",5839,6月1日 18:21,158821
