,1,0,time,comments_num
0,"虽然这首歌免费了，有点开心，但更多的是不开心
",23203,6月25日 06:24,11303
1,"我唯一一首买的歌居然免费了，无语
",16792,7月23日 00:23,11303
2,"《love story》
官方:《爱情故事》
霉粉:《老娘想跟你在一起》
",7522,7月23日 20:54,11303
3,女,6813,8月4日 07:47,11303
4,"大机器这……有的中学生霉粉可能也没支付宝银行卡就让他们听吧，咱们准备好支持重录专辑就行
",4225,6月25日 11:06,11303
5,"希望我们这个群体的love story 也可以和普通的love story 一样被同等对待🏳️‍🌈陌生人 可以抱抱我们吗
",3460,8月12日 10:08,11303
6,"记得当初网易开始大范围收费时，不少朋友都去问网易为什么，不付费变收费，各种骂。可他们却不知道在原版歌的下面永远有一首一模一样的，这就是网易留给铁板用户的宝藏。
",2868,7月29日 20:34,11303
7,"这句话是一个思维陷阱，由于大家对成绩的定义，一般指的都是客观考试的分数，所以导致前后形成强烈的反差。(另外，这个笑话不错，我拿去哄人得了)
",2815,8月5日 00:52,11303
8,"▹ 把你的两个手指往中间划一下 你会收到一个抱抱
",2781,9月18日 21:40,11303
9,"对不起，我深知这是大机器版本，但因为个人人家境原因，没法购买正版，也请各位霉霉粉原谅
",2108,8月10日 16:56,11303
10,"饭圈思维真是搞笑，这歌怎么就不是正版了？要维权就老老实实走法律途径，别在下面刷些有的没的。我寻思现在听首歌，即使是正版的也要先查查唱片公司和歌手的瓜葛？
",1868,7月30日 12:37,11303
11,"怎么把脑子里的钱转到银行卡里，在线等，挺急的
",1530,9月25日 22:41,11303
12,"霉霉不是靠销量火起来的，霉霉是靠空气靠粉丝bp支持火起来的，望周知
",1386,7月31日 10:25,11303
13,"今天一名16岁少女不见了
因为
她17岁啦！
",1373,11月7日 07:05,11303
14,"这首不是大机器版本了吧，你们扯什么大机器，所有免费的都是大机器了
",1362,6月26日 12:22,11303
