,1,0,time,comments_num
0,"她一遍一遍阐述自己的缺点
他一次一次肯定他对她的爱
",9753,9月16日 12:00,8042
1,"每天睡觉之前记得朝空气打一拳 没别的 就干这个世界
",4466,9月27日 01:01,8042
2,"比伯的love me跟这个有血缘关系
",3530,9月13日 04:22,8042
3,"耳机里听最甜的歌 用最冷漠的脸走路
",2268,10月3日 19:37,8042
4,"这首是属于什么风格，发现自己喜欢这种的，太上头了
",2158,9月29日 01:32,8042
5,"只要对自己够狠，大学和帅哥都是我的。
",1582,10月4日 11:49,8042
6,"你以为自己是红酒
在等懂的人来品
结果发现自己是板蓝根
来找你的都有病
",1499,10月20日 11:19,8042
7,"高贵优雅的白鸽才不屑于亲吻黑暗肮脏的乌鸦
",1365,9月20日 01:51,8042
8,"并不需要用恋爱来证明青春的存在
",1352,10月2日 21:21,8042
9,"“我们终将上岸，阳光万里”
",1262,9月13日 22:16,8042
10,"一定要从垃圾臭水沟爬到食物链最顶端
",1022,11月1日 10:29,8042
11,"往往把我们带上“弯”路的人，都不能陪我们到最后。
",895,11月1日 21:56,8042
12,"说吧 光遇给了你多少 我solo给双倍
",839,10月1日 12:16,8042
13,"在这快餐式恋爱的时代 我熬的粥又慢又清淡 谁会喜欢呢
",699,9月19日 22:49,8042
14,"青春献给小老头，年纪轻轻小洋楼.
",664,9月18日 16:42,8042
