,1,0,time,comments_num
0,"近水楼台先得月 谁陪在你身边你就对谁好吧
",23万,2019年6月18日,268225
1,"封面让我难过
",99206,2018年8月11日,268225
2,"溫柔留給你們記得要好好生活
",95374,2018年11月12日,268225
3,"XXX的眼睛特别好看 忧郁和温柔藏在眼眸中
",50658,2018年11月17日,268225
4,"希望以后所有的拥抱都不会跟离别扯上关系ㅤ
",47766,2018年12月31日,268225
5,"其实那些坎我一个也过不去 
",43112,2019年4月13日,268225
6,"这首歌已经听了10418遍
",32197,2019年8月20日,268225
7,"人生就一次 小可爱们不要再难过啦
",32044,6月6日 14:18,268225
8,"手里攥着开学爷爷给的零花钱，还没花，以后也不会再花了。在浦东机场H151登记口循环听着这首歌哭了好久，爷爷走了😔
",29445,2019年12月16日,268225
9,"这首歌讲的是一位黑人，他无意间发现了一个变态杀死了两个小姑娘。FBI来到现场的时候，发现黑人抱着两个小女孩，以为是黑人杀死了小女孩，黑人被判刑的那一刻全世界仿佛失去了颜色……其实，人们都不知道这位黑人生前救了多少人
",28247,6月26日 19:04,268225
10,"最后 再听一遍
",26034,2018年11月20日,268225
11,"你是生活扑面而来的善意
",20574,2019年2月1日,268225
12,"每一个夜晚都有月亮和音乐陪我
",18424,2019年3月21日,268225
13,"该睡了 心里出现乌云就应该早点踏入黑夜
",16968,2019年10月19日,268225
14,"你站的那么近可给人的感觉是遥不可及
",12651,2019年2月1日,268225
