,1,0,time,comments_num
0,"“妈妈经历了鬼门关才有了你” “你却说人间不值得”
",99099,3月23日 22:05,43021
1,"这世间的浪漫与宠溺 记得留予妈妈一份
",98002,3月23日 21:55,43021
2,现在是00,72166,3月24日 00:17,43021
3,"“数学题很难 笔记也很难记 没有那个他我也很难熬 可我不能让我的妈妈吃苦了 我难熬短时间就算了 妈妈不行”
",31111,3月23日 22:05,43021
4,"小时候经常听到爸爸妈妈因为年轻时谁追谁而“吵架”，妈妈每次都会害羞脸红，爸爸每次都会看着妈妈傻笑
",18686,3月23日 21:42,43021
5,"你慢慢变老 我快快长大
",13867,3月23日 23:31,43021
6,"“你才十七岁不用知道什么，好好度过童年，成年再教你”
我的妈妈我爱你！
",8320,3月23日 21:51,43021
7,"大家清理缓存可以听完整版 如果下载了的话需要删除下载再听～
",7537,7月5日 18:11,43021
8,"希望每次跟妈妈吵架的时候都能理智的想一想吧
",7200,3月24日 07:57,43021
9,"抱抱小可爱，我也是这届高考生，现在距离高考仅有74天，你，我，我们都要不负众望呀，加油哇❤️
",6711,3月25日 15:06,43021
10,"可是我妈妈和别的男人跑了
",6561,3月26日 10:52,43021
11,"钉钉是蔚蓝色，里面有直播课
",5178,8月18日 10:52,43021
12,"作文里的全是假的，妈妈没有半夜带我去医院，妈妈也没在我失败的时候给我勇气，也没有在晚上写习题头疼端上热牛奶，我都不知道自己为什么编的那么真。
",3820,7月17日 14:31,43021
13,"“我曾经把一个男生打哭了，我觉得自己特厉害，后来，我看见他和一群人打架，结果……他赢了”
",3808,7月20日 17:28,43021
14,"不是吧。三个月网恋要了垚半条命？？
",3471,7月8日 14:51,43021
