,1,0,time,comments_num
0,"2K史上最佳配乐之一
",10.3万,2014年11月25日,54728
1,"明晚凌晨4点，老科按下闹钟来到车库里的球场，发现自己已经退役了，不用再打任何一场比赛。于是回到床上，却发现自己怎么也睡不着了。前夜的仪式太过盛大，他忙着微笑鼓励所有人。夜深人静，他可以认真擦眼泪了。。。
",94563,2016年4月17日,54728
2,"叙狙击手一把SVD守城，杀敌220人后牺牲。Kobane城保卫战，只身一人，一把SVD狙击枪，坚守一座城一年时间，击毙IS武装分子220人，在去年四月的战斗中就义。这个站在世界反恐最前线的库尔德男人叫Musa，以为是前几天的事情，一查才发现英雄已去一载。
",64058,2016年4月9日,54728
3,"今天反法西斯70周年，多亏了那些老兵，学生党各种职业的工作党才可以放假。之所以这次这么隆重的阅兵，是因为下一个十年不一定可以再见到那些曾经为新中国而献身的老兵们了………感谢老兵……
",27092,2015年9月3日,54728
4,"就算再有一个科比，我也没了青春去追寻
",20800,2015年11月30日,54728
5,"经典的2k10
",20234,2014年11月17日,54728
6,"上海 一个人 16岁 ，中考失利上了中专， 但是我不想再这么平庸下去， 我要去做我想做的事， 我想打好球， 目标是能在全中国的街球领域留下影响力 管那些人怎么说呢， 也不顾家里人反对了 ，我要打好篮球! 打出名堂! 成长需要时间 经历痛处 这绝非易事 每个人亦是如此❤
",13137,2017年12月2日,54728
7,"美国把这首歌当国歌他不香吗？
",12873,6月17日 14:30,54728
8,"前奏一起 立马红心转身 i want you！！！
",10401,2014年11月19日,54728
9,"十一月最后一天，你宣布退役了，看着你依然能投出关键的三分。美好的日子说没就没了，还有66场，66次的回眸。从此NBA再无美如画。
",8051,2015年11月30日,54728
10,"这首歌的本意是愿世界和平。今天正好也是国家公祭日，动乱残破的年代，那些不该逝去的冤魂，祭奠，愿世界没有战争。
",7312,2017年12月13日,54728
11,"@云音乐小秘书 翻译一下，多么正能量的歌。
",4428,2015年2月9日,54728
12,"第一次听是因为一个公益广告。每一件小事都蕴藏着巨大的能量，有时候我连向陌生人主动微笑的勇气都没有，但内心是及其渴望我们有个互动的眼神，而不是冷漠的对视。 i m waiting for, praying for, for the people to say
",4181,2016年3月9日,54728
13,当屠呦呦发布完最新的研究结果后，我弟弟跳下病床冲过来，倒在我怀里哭着说,3989,2019年6月22日,54728
14,"如果不是媒体，is会去围剿他吗，一个狙击手生前决不能被敌人知道位置
",3833,2019年1月9日,54728
