,1,0,time,comments_num
0,"神奇的网易云 总会有影分身
",4024,9月18日 13:33,3653
1,"歌手这么照顾我们这些穷人吗[多多捂脸][多多捂脸]
",1687,9月20日 00:15,3653
2,"你们低调点，不然又要收费了
",1331,9月21日 22:57,3653
3,"在产房，我痛到不行才开三指，后来带上耳机听了这首歌，开8指，1小时后无撕裂无侧切生产一枚7.1两小公主
",594,10月31日 12:22,3653
4,"脑子里都是韩剧女主打人的画面
",461,9月20日 06:42,3653
5,"今天加了个男孩子 聊的超级来 真的很有礼貌 最主要有孝心 第一句就聊到了家人 他说聊你妈
",406,10月31日 21:30,3653
6,地铁上，一名外国人一边打电话一边吼,393,11月6日 09:29,3653
7,"那个叼烟跳的那段，太有感觉了。爱了爱了
",327,9月22日 11:17,3653
8,"哈哈哈哈哈哈 反复相遇就很有趣
",299,9月19日 23:26,3653
9,"好家伙都给你翻出来了
",246,9月25日 09:26,3653
10,"有一次我在洗澡，看到一个虫子在墙上，我拿喷头呲它，那小家伙洗的还挺滋润，于是我把温度调到最大，把那小家伙烫死了，于是我得意的把喷头转到自己身上
",214,11月5日 17:38,3653
11,"离都离了，蚂蚁庄园我天天喂个鸡你蹭吃蹭喝就算了还暴揍我的鸡
",157,11月6日 03:48,3653
12,"你奶奶挺有钱的
",128,9月25日 23:04,3653
13,"不 是网易云大大
",113,9月24日 02:58,3653
14,"这首音乐我只能给88分，那12分在大广高速给扣了。
",103,10月3日 22:00,3653
