,1,0,time,comments_num
0,"ShawnMendes × CamilaCabello
时隔四年 两人再度合作 带来全新单曲「Señorita/小姐」💗你的假cp#shawmila#发狗粮了～💑
",11万,2019年6月21日,68137
1,"闺蜜间的再度合作!上次合作还是四年多年的I Know What You Did Last Summer，当时蒙德还是个青涩的男孩，卡妹当年还被大家称为“西装妹子”的时候，如今都已经大火，两人感情还是那么友好.而且今年卡妹和蒙德都会有新专哦，敬请期待吧❤
",72190,2019年6月21日,68137
2,"距离上次萌卡合作已经过去将近四年
那时的萌德还未成年卡妹也才十八
这次新单两个成年人在预热片段中真的很亲昵 我就想知道到底亲上了没有呀🌚
马修教练表示有点🍀🌴🌵🍃🌿🎋
",47467,2019年6月21日,68137
3,今日头条,34431,2019年6月21日,68137
4,"加拿大流行王子萌德✘古巴实力派天后卡妹
单循就完事了
",30133,2019年6月21日,68137
5,"之前I Know What You Did Last Summer我还吐槽他们整个MV都没走到一起，结果现在第二单都亲上了还有床！！真的是长大了狗粮满满
",24661,2019年6月21日,68137
6,"两个人认识很久很久了！！萌德在采访中不止一次表示过卡妹是他最好的朋友之一 没有人能比她更懂自己了💓 我记得有次卡妹直播的时候萌德进直播间卡妹激动到叫破声 总之真的好甜好甜这大概就是友谊最好的体现了吧。15年合作的《IKWYDLS》都听腻了吧？？新单快快快循环起来啊！！
",18939,2019年6月21日,68137
7,"15年合作I know what you did last summer的时候，萌德正处于人气增长期，卡妹正处于组合时期，个人名气并不大。由于人气以及歌词原因，当时的合作给卡妹带来了很大的网络暴力，而现在不同了，两位都是正当红的炸子鸡！有颜有才，爱了爱了！
",14201,2019年6月21日,68137
8,"不是假的！是真的！！！
",11168,2019年6月21日,68137
9,"采访里萌德说他花了10个月的时间说服卡妹和他一起唱这首歌。卡妹说因为她觉得还不是对的时间。他们本来想一起做一首I know what you did last winter/fall，但是经纪人不同意，卡妹开玩笑说他们差点把经纪人都炒了。
",9338,2019年6月22日,68137
10,"好歌要继续听，人该骂的还得骂，
",8707,3月23日 14:41,68137
11,"为什么大家都是骑摩的和弹吉他，萌德能把卡神亲上还有床，而厂妹都不愿意上我的车。
",7232,2019年8月7日,68137
12,神仙组合,6753,2019年6月21日,68137
13,"卡德一比组合 已上线👯 距离俩人上次合作已有四年之久 反正我是已经做好单曲循环的准备 你们呢？
",4973,2019年6月21日,68137
14,"闺蜜团再带来新歌，萌卡🔒死，卡妹嗓音太好听了
",4592,2019年6月21日,68137
