,1,0,time,comments_num
0,"走心日推，冷门好歌
",15.9万,2017年6月14日,103843
1,"这几天好多燃系好曲。
",90715,2017年6月19日,103843
2,"sell out 的翻译严重有问题 不是背叛的意思。在这里这的全力以赴， sell out的这种用法比较少见，但绝不是背叛的意思。
",81605,2018年1月2日,103843
3,"放开我 我要去统治地球了
",49614,2017年7月2日,103843
4,"兄弟们，五年了，五年了啊，我们终于是冠军，从一个小学生熬成了大学生，五年，终于看见中国拿到了S赛的冠军，IG牛逼！！！！！
",44696,2018年11月3日,103843
5,"距离高考还有37天，我一定能考好！横扫一切！
",28403,2018年5月1日,103843
6,"这么一首充满宗教色彩的歌，看不懂的人看到的只有热血。sold out指的是因耶稣的牺牲歌者已完全的将自己交托于耶稣，翻译成备受追捧真的是完全错误。
",22248,2019年6月9日,103843
7,"封面应用宝？
",19834,2018年2月19日,103843
8,"够燃，激起了我学习的欲望，但是我坚强的克服了它。
",15886,2017年7月30日,103843
9,"我的打算是打一把游戏写一道完形，然后突然在我放下鼠标的瞬间这歌响了起来
",14074,2018年9月23日,103843
10,"兄弟们，我被北大录取了
",10870,7月28日 22:40,103843
11,"兄弟们，我被浙大录取了
",9398,6月22日 02:25,103843
12,"明天高考，我虽然曾经迷茫过，怠惰过，但我终将踏上征途，赢得属于自己的荣耀
",9354,2019年6月6日,103843
13,"Sold Out 的意思是票卖完的意思，他是一个歌手，演唱会的票卖光，说明他受人追捧，名声大噪，故隐身为取得成功的意思
",6640,2019年1月14日,103843
14,"我以为是卖光了
",5598,2018年12月31日,103843
