,1,0,time,comments_num
0,"我被南开录取了
",71.6万,2017年7月27日,373718
1,"Coldplay的歌曲总是这么触动人心，马丁温暖的声音里似乎蕴藏着满天星辰！有生之年一定要做的事情就是去看一次酷玩的演唱会！！
",45.1万,2017年2月23日,373718
2,"我并不渴望蜘蛛侠的控制，蝙蝠侠的铁拳，我只渴望，在加拿大与美国的交界处，一个斜放的耶稣十字架，有一天，三个钢爪会破坟而出。
",35.9万,2017年3月9日,373718
3,"高二党，普通的高中，学习成绩一般，考个普通的二本都必须付出很大的努力。今天写着物理题，父亲他就说亲戚家那个地方出了三个一本，怎样怎样。那一刻真的好难受，从小就被拿来比较一直未停过，我好累。父亲出门开会后，我哭了。我不如别人，可我也在努力，努力成为自己的超级英雄。有时我也需要鼓励。
",20.1万,2018年2月6日,373718
4,"既有chainsmokers烟鬼的电音节奏又有酷玩coldplay独特的治愈风格，好听！！ 刚发行就已在全英音乐奖现场表演
",18.3万,2017年2月23日,373718
5,"我基友说这是ColdSmoker唱的
",13.8万,2017年2月23日,373718
6,"激动人心的时刻到来啦！烟卷The Chainsmokers与酷玩Coldplay强势合作，必定超级热单，极大可能Billboard空降冠单！风格依旧Future Bass，给人一种清新舒爽的感觉，主旋律很突出，很有记忆点！期待4月7日新专辑发布！(与小英雄先飞一步)🙌🏻
",11.5万,2017年2月23日,373718
7,"我并不渴求蜘蛛侠的控制力，蝙蝠侠的铁拳和阿碦琉斯的战利品，只希望能拥有挽留你的能力。[玫瑰]
",94587,2017年2月25日,373718
8,洛基,91043,2018年5月13日,373718
9,想必大家都已经听过烟卷The Chainsmokers和Coldplay合作的新歌“Something Just Like This”了吧？一首新歌也许还不足够让你过瘾，但是The Chainsmokers在4月7号发行的个人首张专辑《Memories,87638,2017年2月23日,373718
10,"摘下耳机发现学校里放的也是这首歌I want something just like this！！！祝所有爱这首歌的人都能成为自己的超级英雄
",76604,2017年2月24日,373718
11,"我，一个人，在家，桌前是题，墙上是大学门前的海报和旁边的分数目标。戴着耳机，边看评论边泣不成声。只有最后十五天了，虽然想复读，但我会要把这十五天充实地过完。嗯，最后听一遍
",66293,2017年5月23日,373718
12,"小时候总觉得箱子里锁着的是怪兽，心里面住的超人；后来才知道，原来人心里住着的才是怪兽，锁在箱子里的，才是超人
",66091,2018年4月22日,373718
13,"我要当太空人，The Chainsmokers可高兴了，给我爱吃的Coldplay果冻
",61948,2017年2月23日,373718
14,"很酷的一杆烟
",54824,2017年2月23日,373718
