,1,0,time,comments_num
0,"苦苦等网易云音源的这会儿已经上油管跟偷超市不付钱的梨某某在商场蹦跶好几圈了 全程拿个椒盐卷饼那高贵的感觉就像拿了个1w美金的GUCCI一样 还有薯条快乐水大半夜的真给我看饿了 也算是对她身材羞辱的人们说了句""I’M NOT YOUR FRIEND OR ANYTHING DAMN!!!""
",5968,11月13日 03:02,8801
1,"这个音嗓 我是个男的好喜欢呀。我估计不少女生都弯了吧。哈哈哈 御姐音百分之75 ，烟酒嗓百分之20。百分之5女神音
",4630,11月13日 12:17,8801
2,"梨式rap来啦！！！ 🍐 碧梨新歌《Therefore I Am》（故我在）超燃来袭！歌名出自笛卡尔的我思故我在(I think, therefore I am)意思是“思考的我是我的第一真实所在”你认为你是我所想的人但我想我才是…
这首曲风和之前的歌完全不同，希望梨可以在各大排行榜上大展身手取得好成绩！🔥🔥🔥嗨起来
",4019,11月13日 02:49,8801
3,"据一位洛杉矶热心市民口述，某晚有位面相酷似比利眼睫毛的牛油果绿少女半夜出门觅食来到万达广场，想吃海底捞无果于是拿起商铺的面包甜甜圈胡吃海喝……
",3423,11月13日 03:22,8801
4,"I love this song so much, hope you enjoy it. As always it is the great honor of my life to make music with my brilliant, kind and hilarious sister @BillieEilish
",3135,11月13日 10:49,8801
5,碧梨,946,11月13日 08:06,8801
6,"碧梨的粉丝有直的吗(狗头
",774,11月13日 12:21,8801
7,"我在其他所有平台都听过啦为什么网易这么慢！！等哭了都
",749,11月13日 02:52,8801
8,"旋律很棒，唱的更棒，特别是那一笑迷死人了。有女孩弯了嘛
",687,11月13日 17:49,8801
9,"上一个抄wb评论被原主抓住删了 好家伙又来一个 真当wb跟wyy俩世界呗？
",396,11月13日 03:27,8801
10,"一条摸头不着的评论赞涨得比🍐哥还快，你什么问题？首先感谢你对🍐的赞美但为什么要买赞蹭？兄弟
",386,11月13日 12:56,8801
11,"格莱美颁奖时碧梨的心情变化
第一次:非常开心
第二次:比较惊喜
第三次:逐渐慌张
第四次:卧槽怎么还是我
",340,11月13日 17:45,8801
12,mv内容概括,230,11月13日 03:07,8801
13,"作品已经同质化，希望多点别的元素
",226,11月13日 09:41,8801
14,"都怕她拍一半掏出个手机大喊一句lao tie double click 666
",220,11月13日 03:03,8801
