,1,0,time,comments_num
0,"这就是街舞第三季9月26日李春林齐舞的音乐占个楼（预告一听就是这个）
",8136,9月19日 23:36,5493
1,李春林老师说,4184,9月26日 23:42,5493
2,"这是我听过的最好听的小黄歌。也是最不像小黄歌的小黄歌。
",4016,2015年11月15日,5493
3,"王一博跳这个我可能会当场去世吧哈哈哈哈哈哈给哈哈哈哈哈哈哈
",1863,10月4日 09:18,5493
4,"卧槽，我一个男的，看完这街3，春林的舞，我感觉我要弯了。。。咋整啊卧槽，满脑子都是这个歌，我这是正常的吗？
",1856,9月27日 20:59,5493
5,"难道你们不觉得办婚礼的时候，新郎带着伴郎跳这一支舞会很牛X嘛？
",1828,9月29日 18:01,5493
6,"谁给我跳tonoight我原地去世
",1642,10月6日 11:08,5493
7,"救命 这歌太适合结婚放了
",1292,10月16日 21:54,5493
8,"我的妈❗️❗️❗️
春林的舞蹈太有质感了！
男性荷尔蒙 撩的我不要不要的浑身鸡皮疙瘩 LSP的我竟然忍不住的看他裤子[不敢看]
",1190,9月27日 00:17,5493
9,"春林牛逼！这首歌真的也太好听了吧 ps好想让我王嘉尔也跳这种舞啊哈哈哈哈哈 同意的小可爱赞我kkk
",1053,9月27日 16:49,5493
10,"想知道春林那一版有萨克斯的是哪一个？！
",998,9月26日 23:09,5493
11,"全程王嘉尔和Franklin都能听懂歌词，你品，你细细品（春林应该也懂歌词在讲啥估计他们脑袋里都在演小电影了哈哈哈哈哈哈哈
",868,10月1日 21:03,5493
12,"顶不住啊 看了春林感觉我又可以了（害羞脸红春林扭的好好看）
",770,9月27日 18:34,5493
13,"看街舞半决赛春林跳这首歌，觉得好听，听歌识曲，歌词竟然如此羞耻。
身体洁癖的我，现在听这首歌，浮出舞蹈画面，想到露骨歌词。决定以后如果遇到对的人，等结婚后做那等事，一定要放这首歌，想想突然觉得浪漫。哈哈哈哈哈哈哈哈。
",663,9月26日 21:04,5493
14,"不到99+不科学
",655,2015年4月7日,5493
