,1,0,time,comments_num
0,"刚刚cctv5勇士集锦的背景音乐，赞！
",38928,2016年4月19日,39574
1,"只闻其声不见其人的Sia 据说这首歌是她给Katy Perry写的歌曲 遭到拒绝 又给Adele也没有要 于是她便亲自演唱 光这精神必然势不可挡
",26531,2016年2月19日,39574
2,"雷霆再见，愿天堂没有三分！
",25524,2016年5月31日,39574
3,"Sia与保时捷的 强强联合。 抛弃的歌曲灵魂在飙速
",15950,2016年1月22日,39574
4,"看了用这首歌做的勇士季后赛宣传片，燃燃燃！！！
",12971,2016年4月22日,39574
5,"对着CCTV-5识别了半天也没识别出来…
",11545,2016年5月29日,39574
6,"有谁是看了库里的MV来的... 顶起来
",10502,2016年4月19日,39574
7,"CCTV5今年的库里宣传片，虽然不喜欢他，但是不得不承认他的强大也跟他的努力离不开，现在他已经不能阻挡，加油吧，努力每个人也可以unstoppable
",9125,2016年5月2日,39574
8,"他从来就不是天选之子 没有过人的天分和詹皇威少那样变态的身体素质 在充斥着肌肉块和身体对抗的NBA 他日复一日的努力用自己的方式改写人们对篮球的认知 他谦逊而和善 家庭和睦 没有遍体的纹身和负面绯闻 他每天都在努力做一个好球员好丈夫好父亲 他看起来是那样平凡而这就是我们爱他的原因
",9013,2016年6月21日,39574
9,"刚刚央视放了这首歌，真他妈感动。
",6968,2016年4月19日,39574
10,"高考前最后一晚，特意听了这首歌后睡觉。一直激励自己I'm unstoppable 。两年过去，想起高考仍是激动。已忘记考题，只记得考完英语合上笔盖的时壮士收刀入鞘的感觉，自己十二年学习经历就这样结束。之后同学一起狂欢，有烟有酒。再后来纯粹的生活戛然而止，曾经天天见面的同学再也没有见面的理由。
",5342,2018年6月6日,39574
11,"没有了海沃德，欧文扛起了这支绿色的传奇。谁说我不能当领袖，谁说我只是二当家。你要战，便来战！
",4141,2017年12月4日,39574
12,"刚刚从cctv5来的
",3670,2016年4月19日,39574
13,"把支持勇士的都赞了一遍……看到央视放sia这首就觉得要火了
",2705,2016年5月29日,39574
14,"太好听了！！！！！
",2581,2016年1月23日,39574
