,1,0,time,comments_num
0,"🔥🚶🏻🔥
",12.2万,2018年8月3日,47158
1,"两帅Vicetone新歌Walk Thru Fire上线！还是两帅独有的标志性音色！
",48568,2018年8月3日,47158
2,"还记得2018.3.9way back的晚上吗，今天V神再次发力，壮大我猫厂
",31587,2018年8月3日,47158
3,"你们能想象我一早上起来，发现v神，三哥，洁匪，小马丁，喀什米尔和 ILLENIUM都发新歌了的表情嘛！！！我现在还沉浸在727那天烟卷，教主，断眉和黄老板的新歌里呢，这是要我心脏炸裂嘛大爱v神！！新歌也超好听！！
",19711,2018年8月3日,47158
4,"Vicetone的新单Walk Thru Fire上线啦！从七月15ins声明有新歌过去了半个多月，V神的拖延症是病入膏肓啦！Σ(っ °Д °;)っdrop浓浓的Nevada味，今晚是睡不着咯！٩(๑❛ᴗ❛๑)۶
",15517,2018年8月3日,47158
5,"感觉电音最精髓的地方有三个，一是前奏，震撼的话肯定会继续听下去，第二个是人声，唱电音的歌手大多数都不是很火的大明星，但是嗓音很特殊，也赋予了电音独特的魅力，第三个是人声唱完的那一段间奏，我觉得这是电音歌曲的精髓，喜欢电音的人一听到就会摇头晃脑脚上打着节拍，不知道你们，是什么样的呢
",14988,2018年9月20日,47158
6,"歌名直译过来……穿越火线？？？
",13020,2018年10月14日,47158
7,"这音色，这鼓，是V神啦
",11421,2018年8月3日,47158
8,"“你够资格吗？”
“也许不够。”
",11191,2019年1月31日,47158
9,"V帅就是非要靠等到百大第一波投票过了才发单来证明咱们有多不屑那个破榜🙃
",9982,2018年8月3日,47158
10,"V神自从3月9号发完Wayback引起轰动，序属三夏，V God's fans Walk Through Fire！让我们一起狂欢！！
56s开始，电子脉冲贯耳，V神之名铭心！EDM's legend never die！
",4137,2018年8月3日,47158
11,英文歌的三大特点,3986,8月4日 17:10,47158
12,"漫长的等待过后，@Vicetone__Official 的新单终于到来！这又将是一首经典之作！
",3251,2018年8月3日,47158
13,"你有被一页纸划过手吗？ 那是树的复仇
",3220,6月24日 12:15,47158
14,"i like turtles
",3210,2018年11月23日,47158
