,1,0,time,comments_num
0,"在家楼下逛了两圈单曲循环这首歌，听完就把那段感情放弃了，我喜欢了快7年的人等了也快七年，重新再见后他说等他来找我，一个多月啦不想再等了，我放弃啦，我值得更爱我的呀
",48万,2016年4月22日,229196
1,"谁第一个提的换气声有点大、这下听到的全是换气了、大爷的！！！
",36.4万,2016年5月26日,229196
2,"不觉得换气声很像那种无助的抽泣声吗....
",25.7万,2016年5月11日,229196
3,"6，我们在一起了。
",17.9万,2016年6月18日,229196
4,"别人唱歌换气声好难听。。怎么到这里就觉得很合适
",14.8万,2016年4月22日,229196
5,昨天晚自习，我们都在写卷子，坐在前面的班任突然和我们说,12.5万,2016年5月1日,229196
6,"“世上这么多好听的歌，我们一定要好好活着”
",11.1万,2016年5月14日,229196
7,"这么强烈的换气声，不正好代表处于水深火热感情中快要窒息无法自拔渴求一丝温暖的无奈自救吗？
",88991,2016年5月26日,229196
8,"我昨天很爱你 今天不想爱了 但我知道明天醒来 最爱的人还是你
",80674,2016年5月3日,229196
9,"总有些惊奇的际遇，比方说当我遇见你
",67506,2016年4月25日,229196
10,"“妈妈，那个人疯了，我怕”。“不要怕，那人没疯，他只是很伤心”
",60886,2016年6月17日,229196
11,"好烦你们干嘛说实话 明明好听的曲调 搞得我现在听都把注意力放换气声那了 听得想哭 口享
",52361,2016年5月5日,229196
12,"被人告白觉得都是玩笑 被人喜欢觉得爱不持久 跟喜欢的人面前觉得自己不好看 活得克制严谨小心翼翼 敏感多心 我们这样的人啊 活该孤独
",52353,2018年4月6日,229196
13,"如果你喜欢一个人 那就先从朋友相处 你们可以同情侣一样关心对方鼓励对方陪伴对方 哪怕后来发现感情淡了你们还是好朋友 不要因为一段不成熟的感情而失去了一个感觉对的人 现在的年纪 给不了未来 负不起责任 在心里给对方留一片天地 放在那里就好了 你们相爱 但你们不是情侣
",45042,2018年5月6日,229196
14,"本来听的好好的，你这个评论是真的毒
",26395,2018年12月20日,229196
