,1,0,time,comments_num
0,"其实你的暗示他都懂 你的潜台词他也明白 他的无动于衷真的不是欲情故纵 他只是不喜欢你而已。
",29863,4月12日 00:30,28988
1,"小学时懵懵懂懂我们在一起了。到了初三毕业那年我们当着老师的面进行了第一次接吻，记得那次老师叫了家长，我们一起挨骂，但很开心。高中时我们考在了一起，在高三时所有同学都羡慕我们，九年了一直在一起。后来上了大学，你提分手了，我不理解，后来我才知道你得了肺癌晚期，你走了，再也没有人管我了
",15152,5月3日 09:13,28988
2,"你们只看到了体育生考大学好考
但你们不知道冲刺冲到吐
跑步跑到腿软的感觉
所以别看不起体育生
你们用脑子上大学
我们用命
",4772,10月5日 22:59,28988
3,"正式版已经上线，听不到的小伙伴，清理一下缓存就好了~ [多多可怜]
",2744,9月7日 16:27,28988
4,"“哥哥你不知道我给你你的备注后面也是有数字的”
",2032,5月22日 19:13,28988
5,"一群未成年人，故事比你爹还多
",1924,10月30日 08:21,28988
6,"“低头是题海，抬眼是未来。”
四五个小时的睡眠，赶场一样的补课，好几万的费用，私教的压力，堆成山的笔芯，练了不知道多少遍的一张张复杂电路图，2324大题，凭什么认为你一年的奋笔疾书能拼得过我三年的寒窗苦读，我可以坚持，熬过这些日子就是前程似锦，明年一定要考上海二 一定能考上海二
",1650,10月20日 19:21,28988
7,"完整版已经出来了，在专辑收听
",1556,6月14日 07:05,28988
8,"真正爱你的人连晚安都会说好几遍.
",1513,4月12日 20:00,28988
9,"晚睡的那个人一定很温柔，所以也注定了要执着。也许晚睡，只是在等，以为会回来的人或者事情。
",1462,4月13日 17:49,28988
10,"一个人早睡一个人晚睡迟早在一起睡
",1321,4月14日 08:12,28988
11,"分手就分手，你去蚂蚁庄园揍我的鸡？？？
",1191,11月6日 22:25,28988
12,"分不清到底是喜欢还是执念
",1109,10月6日 09:00,28988
13,"一首叫 银河飞车的歌 也很大气
",1089,9月26日 19:18,28988
14,"能不能别和其他男孩子玩啊啊啊啊啊靠！！！
",964,5月12日 11:04,28988
