,1,0,time,comments_num
0,"作词No4
“爱情里所有的迁就，都是因为爱你。”
你可能觉得错过了他，就再也不会遇见那么喜欢的人了。给自己一些时间，看看外面的世界。你会明白你喜欢的不是眼前这个人，而是放不下喜欢他的这种感觉，在你心里散发光芒的那个人，身上的光是你赋予给他的，生活的可能性有很多种，永远不要让自己失望。
",4012,11月7日 00:00,4492
1,"“认清自己，接受自己，成全自己。”
",3606,11月7日 00:23,4492
2,"希望爱的都不狼狈，爱的都不疲惫。
",2903,11月7日 00:00,4492
3,不开心就不回，开心就回一下，这种忽冷忽冷让我退缩，努力的去跟你找话题，好不容易有事要跟你分享，你却一个表情打发我。我问你,471,11月12日 09:38,4492
4,"我看那女的照片 看了一遍又一遍 心疼了一个晚上 我把那女的从上到下看了个遍 是比我温柔 比我漂亮 哪都比我好的人
",442,11月13日 00:19,4492
5,"不喜欢猫就不要摸它的头
",411,11月12日 00:41,4492
6,"我和我喜欢的人有结果了！！！
",409,11月8日 14:00,4492
7,"次次认真，次次教训，次次动摇，次次心软，次次委屈，次次不甘，次次难过，都是活该……
",276,11月7日 19:01,4492
8,"遗憾的是 我说了违心的话 你还顺了我的意
",201,11月11日 19:55,4492
9,"听到第一句心突然一惊 “怎么可以把我的现状写的这么细节”
",162,11月13日 16:28,4492
10,"其实你问出来来的时候你的内心就已经有答案了
",162,11月7日 09:00,4492
11,"这是第…数不清好多次，在app上找寻关于你最近的蛛丝马迹了
",134,11月19日 01:19,4492
12,"“来了为什么要走 会走为什么要来”
",133,11月7日 01:33,4492
13,"我记得2020.7.9号，17:25～22:05成都飞往乌鲁木齐的国航ca4191，我在下飞机遇见的一个小哥哥，因为我带了美瞳眼睛疼所以不停的流眼泪，然后那个小哥哥以为我被人欺负了，问我的那个小哥哥，因为我有急事就走了，不知道我们还能不能遇见，我去了新疆好几次也再也没有遇见过了……
",131,11月13日 17:11,4492
14,"我会被替代,没关系, 你也是
",116,11月13日 04:51,4492
