,1,0,time,comments_num
0,"牛顿发现了万有引力，我发现了你对我的吸引力~
",80968,2月23日 20:18,43932
1,"每个女孩都是公主无论在破阁楼里还是城堡里。
",43305,3月27日 19:03,43932
2,"这首是有正规版权重做的版本
之前作词曲的问题也已经更正了
希望大家好好听歌就好了
",38891,5月13日 22:35,43932
3,"好听不火系列
",16589,3月18日 21:32,43932
4,"这歌太好听了!姐姐翻唱很棒 喜欢姐姐的声音!
",12177,3月27日 18:27,43932
5,"给大家表演一个作者回复
",11652,4月24日 21:37,43932
6,"歌手我们学校的，我女朋友，挺一波
",7534,6月12日 19:02,43932
7,"我觉得黄磊有一句话说得很对“我觉得是正常的，15岁不叫早恋。” “我女儿要是十五岁谈恋爱我觉得正常。” “恋爱就是恋爱，情窦初开，是美好的，早恋这个词就不是好的，很混蛋，什么叫早恋？” “我绝对不会看的，她就是把手机放桌子上我也不会看，她有她的人生，我要让她有更好的人生，从现
",6409,6月21日 17:53,43932
8,"我有预感这首歌会成为这个夏天的经典
",6145,5月11日 19:32,43932
9,"1.买一套200w的房子（已完成）
2.买一辆宝马（已完成）
3.开一家店（已完成）
4.年收入50万（已完成）
5.有一次说走就走的旅行（已完成）
6.改掉爱吹牛逼的习惯（未完成）
",5547,6月24日 20:57,43932
10,"分手时 她带走了我所有的口罩。
",4196,7月25日 22:43,43932
11,牛顿,3807,5月21日 17:51,43932
12,"几个菜哈哈哈
",3806,6月12日 22:31,43932
13,"抗癌四个月，每一个明天都值得期待
",3635,5月17日 19:15,43932
14,曾经在南京街头碰到过汪苏泷，我低声喊了声汪苏泷?他听到后也小声的回了句hello。我说,3028,8月5日 09:37,43932
