,1,0,time,comments_num
0,"这一年武当大雪，掌教李玉斧带回了一个叫余福的徒弟。
年轻掌教背着孩子上山时，昏昏睡去的孩子手里攥紧了一串舍不得吃的鲜红糖葫芦。
登顶武当后，背着徒弟的年轻道人远望，哽咽道",27.5万,2019年11月22日,115823
1,"蟹蟹大家 我爱你们
",26.3万,2019年11月22日,115823
2,"正如当年老掌教大雪背着小师叔上山. 小师叔，回山了.
",11.1万,2019年11月22日,115823
3,"十四岁见的那位红衣女子是我八百年来的夙愿
",10.3万,2019年11月22日,115823
4,"愿中国青年都摆脱冷气，只是向上走，
不必听自暴自弃者流的话。
能做事的做事，能发声的发声。
有一分热，发一分光。
就令萤火一般，也可以在黑暗里发一点光，
不必等候炬火。
如若今后没有炬火，你便是唯一的光。
",98102,2019年11月24日,115823
5,"下山一定要记得买菜，生快
",92816,2019年11月22日,115823
6,徐脂虎闭眼道,68305,2019年11月22日,115823
7,他朗声道,52612,2019年11月23日,115823
8,"春秋十四甲
剑甲－李淳罡
棋甲、书甲、算甲－黄龙士
兵甲－叶白夔
刀甲－齐练华
道甲－齐玄帧
色甲－西楚皇后
琴甲－南唐目盲琴师
画甲－周鱼凫
法甲－荀平
地甲－司徒神策
数甲－赵黄巢
路人甲－顾剑棠
",41074,2019年11月23日,115823
9,"人间的遗憾，多是“留不住”三字。最深的肺腑之言，不过是对种种风景、种种人的一句 人间且慢行
",33136,2019年11月22日,115823
10,"看到这么多雪中书友，太激动了偷偷提前上传了电视剧插曲我溜了～别被甲方抓住～不要赞我
",32084,2019年12月17日,115823
11,周芷若冷笑道,30779,2019年12月1日,115823
12,"小道士问起师尊:吾爱一女子良久，可有办法获其青睐
其师尊曰:需要越过江河海，见你决心，方可获，你可想知道如何越过？
小道士曰:想
师尊苦笑告知:傻孩子，你过不去
",23982,2019年11月22日,115823
13,"年轻游侠儿泪眼模糊，凄然一笑，站起身，拿木剑对准墙壁，狠狠折断。
此后江湖再无温华的消息，这名才出江湖便已名动天下的木剑游侠儿，一夜之间，以最决然的苍凉姿态，离开了江湖。
刺骨大雪中，他最后对自己说了一句。
“不练剑了。”
",23319,2019年11月24日,115823
14,"三尺气概 千古风流
",15401,2019年11月23日,115823
