,1,0,time,comments_num
0,"不出意外的话，明年我将会穿上军装，成为一名真正的中国军人
",70062,6月17日 19:56,40918
1,"新歌来了！很开心一路下来很多人陪着我，这首歌也是我很喜欢作品，期待后面我们越来越好！谢谢大家的支持
",42761,6月17日 00:09,40918
2,"这首歌是我和乐队几个人在录音棚见证了王巨星同学完成的 他本人非常用心非常努力 一直在说这里需要改需要精进 录到了晚上很晚很晚 希望大家多多支持他 本人是巨可爱的哈哈哈 期待他的下一首歌 期待他成为所有人心中的巨星。
",27353,6月18日 22:13,40918
3,"不想下落不明，只想金榜题名
",14507,6月17日 22:05,40918
4,"“我试过下落不明，原来真的无人问津”
",13276,6月29日 20:22,40918
5,"现在我躺在重症监护室里.我不知道我会不会还有未来.今天妈妈跟我打视频好像哭了很久.我好像真的要走了.
",7840,7月7日 00:14,40918
6,"“如果你喜欢一匹马，不要试图去追它，你肯定追不上。你应该去种草种花，等到草长莺飞的季节，马自然会回来找你。” “如果那匹马就是不回来呢？” “没关系，你有了草和花，有了独特的魅力和资本，这匹马不来，别的马会来。”
",6246,6月24日 08:34,40918
7,"人与人的相遇是如此的美妙又神奇。缘分使彼此遇见，又玄妙地使人分开。要鼓起勇气啊，别让那个人下落不明。错过是一件多么令人后悔的事。
",5193,7月14日 22:56,40918
8,"看到评论里有很多高考的学子们，祝你们金榜题名，前程似锦，高考冲冲冲！
",4239,7月7日 08:54,40918
9,"本科线449，我444
没哭没笑就这样
",3998,7月26日 22:55,40918
10,"本科线465我464
我很冷静，静的我一晚没睡
",3992,8月6日 00:13,40918
11,"“一辈子有多久”
“23天”
“为什么啊”
“他说他会爱我一辈子”
(勿抄)
",3111,7月28日 19:27,40918
12,"姐妹我来啦！
",3023,6月17日 00:01,40918
13,"“你有暗恋过你的老师吗？”
“不，没有，我只想过暗杀”
",2697,9月4日 20:30,40918
14,"“朋友的名义，恋人的感觉，实际又好像毫无关系。”
",2638,8月17日 10:39,40918
