,1,0,time,comments_num
0,"一个爱胡思乱想的女孩和一个不爱表达的男孩注定不能在一起
",12.1万,2月26日 15:00,111472
1,"一哄就好的女生凭什么不被珍惜.
",86698,3月1日 14:39,111472
2,"快高考了，最近心情很烦，网课听不进去，总是想玩手机，虽然手机玩完负罪感很强，可就是忍不住，我知道我现在应该努力，可是对未来还是一片迷茫，突然间听到这首歌，我也就释然了，结局不论好坏，只要努力过，便不负自己
",83349,2月27日 09:16,111472
3,"谢谢大家来听(;o;)以后我还会多多尝试中文歌的！
",39853,2月27日 01:44,111472
4,"每座城市都会下雨就像我走到哪里都会想你
",24117,2月26日 21:42,111472
5,"在pyq看见的一个姐妹分手后发的，感觉戳到我了...
“毕业旅行和他一起去了西北，去了拉萨，去看雪山看沙漠看银河。可是拉萨大大小小的佛也没有保佑我， 对流星许愿说要和他结婚也没有用。” 
",24069,2月28日 15:43,111472
6,"不需要人哄的我凭什么被伤害...？
",11209,3月7日 11:56,111472
7,"雨停了
你走了
",9250,2月26日 09:45,111472
8,"很乖的女孩子总是会被辜负
",8061,3月7日 19:27,111472
9,"一哄就好的女生活该你委屈
",6313,3月9日 00:43,111472
10,"正好下雨天☔️ 正好想你
",5674,2月26日 00:37,111472
11,"期待下一次遇见，一定是在雨天
",5396,2月26日 11:29,111472
12,"敏感的小女孩和不注重细节的小男孩总归还是要分开的.
",5277,3月5日 02:45,111472
13,"天下雨了
我坐在阳台
拨动着吉他的琴弦
你听到了吗
这是你最爱的歌曲？
",4229,2月26日 00:23,111472
14,"我想嫁给李蓝心。两个女孩子也可以走到最后。。。
",3673,5月22日 19:18,111472
