,1,0,time,comments_num
0,"“最遗憾的就是..我输在了你不爱我”
",18.7万,8月20日 00:00,281833
1,"天空一直在，只是星星去了又来。
",12.9万,8月20日 00:00,281833
2,"“你别卷入世俗 我别沉迷初遇”——薛之谦。
",11.1万,8月20日 00:00,281833
3,"不爱我 不是你的过错 是我的弄巧成拙
",64773,8月20日 00:00,281833
4,"谁都有爱而不得的人，遗憾也是庆幸
",48669,8月20日 00:31,281833
5,"哥啊 喜欢你五年了 今年遇到了一个很喜欢我的男孩子 我们今天就半年啦 不知道为什么这么巧 昨天就看见你发微博说出新歌了 他很好噢 像你一样很温柔很温柔 他也很喜欢你 有机会的话 我们一起来看你的演唱会 告诉你 已经喜欢你好多年了
",20248,8月20日 00:00,281833
6,"“不爱我”没有前奏，就像你不爱我毫无征兆
",14158,8月20日 00:17,281833
7,"开始以为你只是不懂得爱人
后来才发现 你只是不爱我
",11486,8月20日 14:20,281833
8,小时候 我们拿这一朵花 问,11195,8月20日 00:31,281833
9,"一切努力皆有可能 唯有爱情靠的是运气
",10436,8月20日 17:27,281833
10,"无论早晚 我都很庆幸遇到你——祝你自由
",8672,8月20日 00:24,281833
11,"#科普评论挑战#歌曲开始: 人声低吟着，柱式和弦慢慢铺入，主歌和弦走向进入b7的时候，会给人一种上升的感觉，然后又进入第二段主歌，铺垫情绪，和弦稍微有一些变化，低音上行，将歌曲情绪逐渐推高，进入副歌，假音配合真音进行切换，反复的质问，像是与自己对话，最后的一句不爱我，是给自己的答案。
",8041,9月2日 11:03,281833
12,"错的人不会因为熬多一点时间就变成适合 
",7293,8月23日 22:13,281833
13,"你还好吗
我们的故事 未完待续
也永远不会迎来结局
",7105,8月20日 00:17,281833
14,李荣浩,6984,8月20日 07:58,281833
