,1,0,time,comments_num
0,"无论如何
爱情江湖路仍应抱以感恩酒
就算你从此成了我的旧患
也能骄傲的说我再也不差喜欢
",21.8万,1月2日 00:05,240472
1,"多谢你如此精彩耀眼，曾做我平淡岁月里星辰
",15.3万,1月3日 21:08,240472
2,以前我说,97940,1月2日 09:54,240472
3,"今天是2020年4月1号，现在北京时间21:20，明天我就要进行癌症的最后一次手术了，脑癌。
我不知道我到底能不能挺过去，我还有好多好多的愿望没有实现呢，还有好多好吃的没吃过呢，连楼下小卖部的东西还没吃一遍呢，嘿嘿，其实也挺舍不得的，我想他知道我也不想离开，可我又不想他知道，我其实蛮怕黑。
",82321,4月1日 21:35,240472
4,"还是希望你好，即使后来你与我无关
",69442,1月2日 12:44,240472
5,"“你永远不会知道 那个为了你失去理智的人 突然安静下来 不哭不闹 不会打扰 她是经历了怎样的心疼 算了 你也不会心疼”
",55536,1月2日 11:02,240472
6,"“两类人遇见得最多 不属于你的人和与你无关的人” 
",40791,1月2日 15:10,240472
7,"“那些看开了还深陷其中的人才最可怜”
",39690,1月28日 13:13,240472
8,"你崩溃到凌晨四点半 他睡到八点自然醒
",36782,1月27日 02:40,240472
9,"""我只是想听见你的声音 哪怕是句我讨厌你""
",31222,1月26日 01:09,240472
10,有句老话是,19711,1月2日 10:10,240472
11,"就算故事终将与我无关，也要感谢你在星辰中给过我一次机会，wanting you happiness，希望大家喜欢这首歌～
",15546,1月2日 00:29,240472
12,"首次与席雨@Ranieyu 、张芷芮@Rruii0820 、豪斯Music三位朋友合作，2020新年第一首情歌单曲，感谢聆听
",12416,1月2日 00:18,240472
13,"16岁的男孩子说要娶女孩子的誓言都是假的吧……
",9398,4月6日 17:50,240472
14,"要加油啊，云村那么多人都在陪着你呢
",7317,4月1日 21:38,240472
