,1,0,time,comments_num
0,"你坐过出租车吧 你下车后 司机是不是把空牌子立了起来 你应该明白 空出来的位置总有人坐
",29.8万,4月25日 02:18,284044
1,"还记得那则新闻吗？一场战争中一对情侣走散了，再次相见时隔几十年，老奶奶终身未嫁，老爷爷子孙满堂，老奶奶高估了他对她的爱，老爷爷低估了自己在她心中的位置
",25.5万,4月25日 00:06,284044
2,"谢谢大家赋予这个作品《丢了你》希望你们都能够珍惜你爱的人和爱你的人！
",20.9万,4月25日 00:01,284044
3,"爱你的人一定要好好珍惜。
",12.8万,4月25日 00:06,284044
4,"你把城墙垒的很高 又希望有人能够不惧艰辛越过城墙来爱你不是吗
",97630,4月25日 01:01,284044
5,"希望我们下辈子可以合适一点.
",82454,4月25日 00:05,284044
6,"希望早点合法，不要让那么多人遗憾一辈子。
",54520,4月25日 23:52,284044
7,"明明已经分的彻彻底底了 完全没有可能了 但我总有一种错觉 我和你还没有结束 我总觉得你还会来找我
",46127,4月25日 00:30,284044
8,"今天我想你了 但是这不影响我打游戏 不影响我睡觉 只是悄咪咪抹了抹眼泪 感叹了一下最后还是没能牵到你的手.
",37761,4月25日 00:41,284044
9,"讲过去像是在卖惨 讲未来像是在白日做梦 讲现在又像是旁观者迷 迟迟无语 字字苦酸.
",36395,4月25日 01:14,284044
10,"这样的结局对老奶奶来说，不如不相见，永远守着当初的美好，哪怕是认为对方已经不在了，也好过当初的美好被最爱的人亲手击碎
",33885,4月26日 01:38,284044
11,"这个是不是总在隧道里唱歌的那个人
",31029,4月27日 20:24,284044
12,"在这个暧昧恒行的时代，深情倒成了笑话
",30527,4月26日 22:49,284044
13,"我对象今天因疫情离开了我我希望她能在天堂上照顾好自己
520这天我没能在你身边对不起
",26640,5月25日 12:36,284044
14,"可我不服他低谷期都是我陪的，他的温柔都是我拿眼泪换来的，他低谷的日子都是我陪的，所以你告诉我，我凭什么不配。凭什么她就可以代替我，获得他的欢心，获得他的好
",23205,4月25日 16:46,284044
