,1,0,time,comments_num
0,"最近比较丧
",52730,2018年4月18日,36047
1,"丧的要死 偏偏白天又是个阳光少年。
",52652,2018年4月22日,36047
2,"日子还是要过
",37794,2018年4月19日,36047
3,"我向往孤独 但孤独并不可怕
",16893,2018年4月19日,36047
4,"抑郁崩溃，摇摇欲坠
",15913,2018年4月19日,36047
5,"嗯，仿佛掉进了深海 不想溺死 但却浮不上来 承认吧，我们都是夜里崩溃过的俗人。
",10272,2018年9月2日,36047
6,"希望难过和钱一样多.
",9749,2018年4月29日,36047
7,"听完这首歌就睡觉，世界很美好，现在的你只是遇到了雨天，要爱自己，珍惜只有一次的生命
",9540,2019年9月26日,36047
8,"今天也是没人要的坏小孩🖤
",8601,2018年4月24日,36047
9,"两手空空 心事重重
",7804,2018年5月8日,36047
10,"现在才发现我原来什么都不是什么都没有
",5663,2018年4月19日,36047
11,"如果可以被保护我才不要什么都去扛
",5394,2018年8月17日,36047
12,"感谢某音 但放过这首歌吧
",4603,2018年8月21日,36047
13,"别担心我 没你的日子我还有歌
",4493,2018年8月27日,36047
14,"我只记得黑夜的样子
",3570,2018年8月29日,36047
