,1,0,time,comments_num
0,"如果还喜欢，那麻烦你再次勇敢，千万别留下遗憾
",9034,11月12日 18:03,4296
1,"海的边际是天空 云可触不可及 就像你和我一样 紧紧靠近 却无法拥抱。
",2470,11月12日 17:02,4296
2,"愿如梁上燕 岁岁长相见 .
",1752,11月12日 19:09,4296
3,"大学是加不完的群,下不完的app,记不住的密码,看不完的通知,做不完的青年大学习...大学并不好，假如我再努力一下就好了……可惜没如果
",1709,11月12日 16:46,4296
4,"大雾散去 我爱你人尽皆知
",436,11月12日 22:43,4296
5,"原歌词呢？如果世间万物能跨越能相爱的版本呢？
",282,11月13日 14:11,4296
6,"麻烦尊重一下原创人谢谢
",233,11月18日 11:23,4296
7,"而且每天还很累，不像高中累的充实，大学累的是莫名其妙……
",183,11月12日 17:04,4296
8,"喜欢一个人就要抓紧，不要留下遗憾，加油，陌生人！
",131,11月12日 19:52,4296
9,"还喜欢有什么用，世上最不缺的就是舔狗，可最后有几人能够得到自己想要的，不喜欢就是不喜欢，自作多情的问候只会成为别人心中的烦恼。
",101,11月12日 22:01,4296
10,"有授权了吗？原唱阿yueyue
",97,11月18日 23:13,4296
11,"大雾四起，我在无人处爱你。
",96,11月12日 23:25,4296
12,"意难平难意平平意难 再难平也得平
",88,11月12日 17:16,4296
13,"还有艾特不完的全体成员 填不完的表
",86,11月12日 17:39,4296
14,"早上听不是这个调啊[多多大哭]好难听啊这个调
",82,11月16日 19:33,4296
