,1,0,time,comments_num
0,"昨天去见前任了 他盖着白布 好像不想见我
",20.2万,9月2日 06:39,131187
1,"rap部分是我，副歌部分是高旭，歌词里为了美观没有标注，看大家都分不清，稍后会标注上
",13.4万,8月8日 01:03,131187
2,"因为你错过了，别人才会遇见，因为别人错过了，你才会得到。
",13.1万,5月25日 21:48,131187
3,"昨天和喜欢的男孩子亲嘴了
",30105,8月31日 00:15,131187
4,"果然男人只有在土里才会安分吗
",29993,9月11日 17:43,131187
5,"他闪现加疾跑逃离你的世界
",25123,8月25日 01:23,131187
6,"妈的 我好喜欢他 可是他怎么这么垃圾
",23928,9月7日 14:52,131187
7,"给楼主送温暖 啊 好听
",20922,7月20日 20:59,131187
8,"感觉有点土又好上头是怎么回事
",18571,8月31日 20:27,131187
9,"怎么这样 他妈没教他来客人了怎么也要起来吗
",18131,9月11日 09:24,131187
10,"不记得了 只记得他喜欢穿假鞋
",15571,9月18日 20:06,131187
11,"无敌了姐妹哈哈哈哈
",14816,9月5日 22:32,131187
12,"昨天和喜欢的女孩亲嘴了
",12806,7月16日 10:04,131187
13,听过最霸气的情话就是,12359,9月26日 07:13,131187
14,"每次和我爸吵架
我真的好想告诉他
你知不知道外面有多少人想当我爸爸
",11931,9月27日 22:30,131187
