,1,0,time,comments_num
0,"和你生疏到这个程度 真不容易
",29.9万,9月22日 00:23,323915
1,"这份爱 会不会 会不会 让你也好疲惫
",27.1万,9月22日 00:00,323915
2,"希望大家都能被爱的人温柔以待
",19.2万,9月26日 01:07,323915
3,"“梦里出现的人，到底是谁在想谁”
",64680,9月22日 00:38,323915
4,"仔细想一想 我长得不出众 不高 不阳光 学习不好 脏话连篇 多疑敏感 喜怒无常 怎么可能会有人无条件站在我这边
",55425,9月22日 00:00,323915
5,"这也是在厕所马桶上录的吧
",34595,9月29日 14:36,323915
6,"补课费好贵 题目好难 压力好大 我想睡觉 我想休息可我更想考上好学校
",27873,9月28日 18:47,323915
7,"网课听不进. 数学听懵. 英语逐渐下降. 集体队伍跟不上. 成绩越来越烂. 身边的人都在往上走而我往下掉. 心里明知要努力 可次次都如此. 眼前一切迷茫 看不到光芒. 不知所措 如何开始. 一拖再拖 一次又一次. 老师开始失望. 一日复一日 日日如此. 可我却想要上一中.
",23458,10月3日 06:18,323915
8,"为了她我来陪她复读，来三天就分手了。真的要荒废自己的一年和本该去的专业
",20159,9月28日 23:40,323915
9,"她喜欢吃辣
她胃不好
她喜欢吃烧烤 烤肉
她喜欢喝奶茶 水果味的
她喜欢吃肯德基的炸鸡 脆皮鸡特别爱
她喜欢喝冰饮
她明知道自己来了还是会吃冰的辣的
她胃不好但是不会养胃
她喜欢穿我的衣服
她经常熬夜所以月经期不稳定
她喜欢榴莲包括跟榴莲味的所有吃的
她喜欢玩光遇
",19996,10月12日 01:22,323915
10,"谁说你一定要喝星巴克，戴得起卡西欧，穿得起名牌，要吃海底捞，要去迪士尼，我们可以喝益禾堂，带淘宝的情侣表，穿用丙烯画对方名字的白T情侣服，一起去吃粉，还可以去动物园玩，学生半价，正因为你是普通家庭的男孩，那么平凡又真实贴切，再也没有第二个你了
",13619,9月30日 23:28,323915
11,"在每一个不联系的时刻 也都有在认真喜欢你。
",11995,9月22日 22:35,323915
12,"为什么明明是你先对我表露爱意，落得尴尬境地还是我
",11617,9月29日 16:03,323915
13,"我的妈呀 这个太太太网抑云了
",11321,9月22日 00:32,323915
14,"我是女生 或许有人和我一样也喜欢女生 很难真的很难啊
",9555,9月26日 23:49,323915
