,1,0,time,comments_num
0,"没关系的，错过就错过吧，反正你也没多喜欢我，我知道的，其实我很努力了，你硬要错过我，我还能怎么办？
",23095,10月23日 18:57,25198
1,"希望爱的都不狼狈，爱的都不疲惫
",14673,10月24日 15:54,25198
2,"“这世界太嘈杂 周边都是假话”
",13683,10月23日 18:26,25198
3,"《吉他版》是“没你不行”
《正式版》是“没你也行”
",8920,10月29日 20:12,25198
4,"你们都要开心奥❤️
",6917,10月27日 11:54,25198
5,"“不好说喜欢
只是看见你会乱”
",6240,10月23日 18:34,25198
6,"会不会离开我 我不会离开你！
",3136,10月23日 19:29,25198
7,"“人类用什么衡量爱”
“用分开后的痛苦”
",2820,10月25日 11:20,25198
8,"不感兴趣了一路平安
",1864,10月25日 21:52,25198
9,"我们认识时间不算长 所以错过我也没关系吗 可是我真的比你想像的还要喜欢你 你说对我没那种感觉可能是我脑子里面全想的就是怎么对你好 没想到我们还只是朋友 没想到怎么去展示自己 过段时间我就回四川了 答应我每天都要快乐 我真的不想错过你 希望你也是 LMJ
",1745,10月25日 05:10,25198
10,"好羡慕那些长的好看，笑起来可爱，成绩好的女孩子，生在光亮觉得全世界都是光亮，这样的女孩子才能配得上那么好的他。
",1728,10月30日 12:34,25198
11,"“喜欢你太久”
“差点就以为你是我的了”
",1666,10月31日 13:24,25198
12,"吉他版稍微舒缓，更像是不分开时的不舍。而正式版更像是一种释怀
",1663,10月23日 18:44,25198
13,"爱来爱去太麻烦了 有时间不如写数学题
",1529,10月29日 22:07,25198
14,"翻了这么久，终于有一个说人话，在意歌本身的了
",1346,10月31日 22:54,25198
