,1,0,time,comments_num
0,"终有一日，你我各结亲，一妻二妾三日儿女，五六年间，沧海桑田，历历过往七八皆成旧梦，剩余二三不过年少轻狂，老来相忆当作笑谈
",34.4万,2014年11月25日,266521
1,"有些人不离开你，你永远都长不大
",34.3万,2015年9月27日,266521
2,我一生中最幸运的两件事,21.9万,2018年3月1日,266521
3,"一上午翻了三万多评论找到你。果然也只会在这随时被淹没的评论里看到你最脆弱的一面。我希望你会过得好。希望你可以大胆去爱，不要再顾忌太多，不要再错过身边对你好的人。一辈子不长，有爱的人在身边会很满足。
",20.1万,2018年3月16日,266521
4,"“只要你敢不懦弱
凭什么我们要错过”
",15.1万,2015年9月23日,266521
5,很想告诫你们,11.8万,2018年3月26日,266521
6,"看到过一句话，“等人是会上瘾的。因为等着等着，你会发现，如果你不等了，不是放弃了对方，而是背叛了自己。”
",10.8万,2018年4月1日,266521
7,"几年前她高唱着“我寂寞寂寞就好” 如今终究还是低吟“我都寂寞多久了还是没好” 时间是用来释怀的道具 却终究不是解药
",10.2万,2015年2月9日,266521
8,"当我买得起十几块钱一个的冰淇淋的时候，我已经不再天天想吃了。当我可以随便玩电脑而没人管的时候，我已经懒得打开电脑了。当我优秀得足够让你不会离我而去时，我已经不再非你不可了。
",81338,2018年3月4日,266521
9,"小时候爱吃西红柿
以为会一辈子爱吃
等到长大不爱吃了就是不爱吃了
没有理由，我没有错
西红柿也没有错
错的只是那些自以为是的一辈子
",79235,2018年3月8日,266521
10,"人，一旦有了感情，就窝囊的不行。你说敬往事一杯酒，再爱也不回头。其实就算你醉到黄昏独自愁，那人伸手，你还是会跟他走。
",66900,2018年3月8日,266521
11,"有些人很奇怪 不爱你 也不放过你
有些人更奇怪 爱你 还放过你。
",59971,2019年1月6日,266521
12,"虽然我很爱你，但是也可能爱不到结果；虽然我也不懦弱，但是可能也会被错过…
",58172,2014年11月12日,266521
13,"总有一个人，一直住在心里，却告别在生活里。忘不掉的是回忆，继续的是生活，来来往往身边出现了很多人，总有一个位置，一直没有变。看看温暖的阳光，偶尔还是会想一想。
",51574,2014年11月25日,266521
14,"认真喜欢一个人的时候 最怕自己变得无趣 恨不得日夜翻书三百章 什么野史趣史风流史都看上一道儿 什么甜话浑话俏皮话都为你学上一遭 殚精竭虑的恨不能把自己剖开给你看 浑身上下都抖擞着几句话 “我超有趣的” “我可有意思了”“你看看我吧”
",37763,2018年3月8日,266521
