,1,0,time,comments_num
0,"一晚上听了140遍
29400秒
490分
8.16小时
代表着我们7年的感情结束了
你应该很快乐吧
往后的日子只能别人照顾你了 （肖海丽）2019.10.5.
",34162,2019年10月5日,43641
1,有人问,12592,2019年10月4日,43641
2,"十里平湖霜满天 寸寸青丝愁华年。对月形单望相护 只羡鸳鸯不羡仙。翻过那一页 好好对待今后的人 往后的事。
",8078,2019年10月22日,43641
3,"放不放的下 都要放 不思量 自难忘
",4480,2019年10月28日,43641
4,"应该我们都一样在深夜里单曲循环 夜晚丧到极致 白天继续努力生活
",4418,2019年10月23日,43641
5,"当我不再乞求你爱我时候，才如释重负。原来爱从来不是负担，责任也不沉重。让人辛苦的，是一直求而不得的心啊 
",3926,2019年11月5日,43641
6,"作曲 : 虎二，
作词 : 虎二，
编曲",3328,2019年10月4日,43641
7,"我想你应该很快乐吧
再也没有我的打扰了
",2402,2019年10月4日,43641
8,"我要站岗了
我要集合了
我要熄灯了
我要训练了
我要打饭了
我要外出了
我发手机了
我要点名了
我要开会了
我要交手机了
",2199,6月21日 10:47,43641
9,"离开我你会快乐。我成全。
",1978,2019年10月4日,43641
10,"最开始我以为你是最美好的风景，触不可及，只能默默地看着，想偷偷的接近你，却发现路上布满着荆棘。后来发现，其实我才是那个种刺的人。
",1499,2019年10月4日,43641
11,人生建议,1442,8月19日 20:25,43641
12,"如果能重来，在遇见你之前，我一定掉头就走。
",1368,2019年10月9日,43641
13,"让我吃惊的是
我和一个男孩在一起了两个月
聊天秒回忙完回来也告诉他去干了什么
痴情又温柔
我对他满眼温柔照顾的无微不至
他以为我死心塌地
实际上我从未动心。
",1364,9月10日 20:15,43641
14,"从前不回头往后不将就你要快乐，找个再听你讲故事的人……
",1139,2019年10月4日,43641
