,1,0,time,comments_num
0,"如果你心中有牵挂的人，那我祝福你，愿你们的冬天永远不缺暖阳。
",26.8万,2019年2月14日,168946
1,"你是人间四月天，笑容温暖了我整个春天。
",16.8万,2019年2月14日,168946
2,"我来瞅瞅都谁说我高产似母猪的等着，放学你别走，今年我巡演背一背包大白兔奶糖，到场的一人发一把，把你们吃成像我一样的大胖子。
",13.9万,2019年2月14日,168946
3,"我说你是人间的四月天，
笑响点亮了四面风，
轻灵在春的光艳中交舞着变。
你是四月早天里的云烟，
黄昏吹着风的软，
星子在无意中闪，
细雨点洒在花前。
——林徽因
",73057,2019年2月14日,168946
4,"我不说，从来不代表我不爱。
喜欢有时候也是一个秘密啊。
",53742,2019年2月14日,168946
5,"愿思念泛滥成河的时候你就会乘舟而来
",43103,2019年2月14日,168946
6,"2月14号才是愚人节，4月1号仿佛是情人节。 因为2月14日有多少人在用甜言蜜语欺骗别人，而4月1日又有多少男女以开玩笑为借口说出了真心话。
",31126,2019年2月14日,168946
7,"我梦见你哭了，我心里难过，就醒了。
",30015,2019年2月14日,168946
8,"那天我们坐在商店门外的台阶上，风很大，我紧了紧你给我的外套。坐了蛮久，看着街上来来往往的人和路灯微弱的光，我伸手摸了摸口袋里早就写好却没拿出来的信。我想，有些感情，要是节制一点，也许会走得很长 很远…
",21374,2019年2月14日,168946
9,"你是人间四月天，
惹得谁一生想念，
又负谁似水流年～
",15908,2019年2月14日,168946
10,"悄悄告诉你们个秘密，“你是人间的四月天”是林徽因说给儿子听得
",15244,4月9日 09:44,168946
11,"你是人间的四月天.
笑响点亮了四面风.
",10733,2019年3月21日,168946
12,"邵帅的歌讲的是一个故事，写给黄淮是他所要讲述的整个故事的大纲而少年依旧在讲的是邵帅失去那个女孩的痛而在高考的日子里讲的是前传，而这首歌讲的是邵帅和那个女孩在一起时的开心快乐以及失去那个女孩后的释然和对她的祝福，驻马店西则是邵帅和那个女孩分离的痛以及对当初在一起时的怀念
",9805,2019年2月14日,168946
13,"愿你的冬天永远不缺暖阳，愿你的明天不在经历雨打风霜，愿你的未来永远热泪盈眶。
",9415,2019年2月14日,168946
14,"期待的歌出来了，可是期待的人不会回来了😞
",7801,2019年2月14日,168946
