,1,0,time,comments_num
0,"我在这等大家好久了 希望大家都能找到自己心中的答案。
",41.6万,2019年11月1日,280503
1,"“真正想给你的从来都不会问你要不要”
",32.2万,2019年11月1日,280503
2,"“问你想不想要的时候最好说不要”
",20.2万,2019年11月2日,280503
3,"沉默就是答案 闪躲就是答案 不再主动就是答案 你早该明白了
",18万,2019年11月1日,280503
4,"万般皆苦，唯有自渡。
",13.3万,2019年11月9日,280503
5,"生活总是让我们遍体鳞伤，但到后来，那些受伤的地方一定会变成我们最强壮的地方。
",93154,2019年11月1日,280503
6,"有时候他迟迟不回复你 聪明的你也该知道这是他的答案了
",83063,2019年11月1日,280503
7,"“
一个年轻人，如果太过老练、太过稳重，而失去了朝气，那他就不算是一个年轻人. ”
",77246,2019年11月8日,280503
8,"每个人都会有一段异常艰难的时光，生活的窘迫，工作的失意，学业的压力，爱的惶惶不可终日。挺过来的，人生就会豁然开朗，挺不过来的，时间也会教会你怎么与它们握手言和，所以你都不必害怕的。🏃
",70722,2019年11月3日,280503
9,"十月间夜里起风的秋 像是一场无声的告别
",42216,2019年11月1日,280503
10,"希望你眼睛里的星光闪耀是我
希望十一月能得到我心里想要的那个答案
",26224,2019年11月1日,280503
11,"遇到对的就是答案 ，遇到不好的就是经历。 可惜我从来没有遇到过，时间可以证明这一点 但我会好好生活 也会追求自己喜欢的东西，我一直在等着............
",22648,2019年11月8日,280503
12,"我也还在路上 没有人能诉说 也许我只能沉默 眼泪湿润眼眶.
",21033,2019年11月1日,280503
13,"问题在问题提出的维度永远没有答案，但是我却还在这个维度回答你，而且这往往让我永远失去你，因为答案不重要，是否跟你在一起也不重要。 但是你很重要，告诉你，你很重要这件事很重要。在你未来人生中无论遭遇什么低谷，能想起有个人曾经让你知道你很重要，这件事很重要！
",20112,2019年11月17日,280503
14,"真正想要的不会一而再再而三的拒绝你，所以别傻了，孩子
",13248,2019年11月1日,280503
