,1,0,time,comments_num
0,"对不起，这次我真的要走了
",37173,7月6日 15:52,33221
1,"这一段就足够惊艳
",28402,7月8日 05:23,33221
2,"为什么没有完整版 唱到我心里去了
",17679,7月14日 21:06,33221
3,"“夜晚”
“女孩走在胡同里”
“看到墙角那里有两个男孩在亲吻”
“一个男孩哭了”
“另一个男孩安慰他说”
“没事的 这里很黑”
“别人看不到我们的”
",8583,7月25日 14:33,33221
4,"完整版跟自己在家唱的还是会有区别的，各有利弊吧，希望好兄弟萌可以多担待一下啦，晚安💤
",7116,8月5日 01:05,33221
5,"伤感啥呢 把歌名给我倒过来念
",5040,9月24日 14:19,33221
6,"也怕多唱不如这段惊艳
",3980,7月8日 09:31,33221
7,"对女孩子冷暴力的男生都是混蛋。
",3662,8月24日 11:46,33221
8,"“后来的放弃，都是我用眼泪换来的大彻大悟。”
",3486,8月6日 15:32,33221
9,"如果你刷到我 愿你嫁给爱情
",3395,8月24日 00:19,33221
10,"出了完整版你就发现你只喜欢这两句
",3123,7月19日 12:40,33221
11,"你是怎么追到刘欢老师的
",2612,8月6日 10:00,33221
12,"清理缓存可以听完整版 下载过的bb们，需要删除下载再听。 还有，记得早点睡❤️
",2416,8月5日 00:10,33221
13,"真的会有小笨蛋哭完之后继续爱你.
",2060,8月29日 15:41,33221
14,"女孩子说不联系是假的
还是会偷偷看他的资料
关注他的动态
可男孩子说不联系
就是真的不联系了
",1881,8月18日 23:24,33221
