,1,0,time,comments_num
0,"最近这首歌能被大家听到我感觉非常荣幸，这首歌刚写出来非常激动，用了一下午就发了，有点仓促，但是保留了当时刚创作的感情，所以一直没舍得重新编录，可能会有一些瑕疵，但是希望能带给大家同样的感受，我一直为做一位独立音乐人而奋斗，如果大家愿意关注我，我相信未来的新歌不会让大家失望的，谢谢
",17.6万,2019年3月7日,181034
1,"你一定要考虑清楚，一旦离开我，就再也没办法找到我了，找到我那一天，我也不一定记得你了。
",16.9万,2018年6月6日,181034
2,"可你还是不愿意和我一起看遍山河
",11.7万,2019年4月26日,181034
3,"倘若你在四下无人的夜突然想起我
希望你能记得曾几何时我也深爱过
",40887,2018年5月16日,181034
4,"那就音讯全无吧
",38799,2019年1月27日,181034
5,"你有没有试过在等一个人的信息
就是那种可怕的朦朦胧胧的意识
梦里都梦到他发给我的信息
然后意识的带我从梦中挣扎出来
立刻去翻看手机这就是思念一个人的感觉
爱到深入骨髓就连梦境中都不肯放过自己 
",30155,2019年3月6日,181034
6,"吉他谱，钢琴曲和弦谱 Am F G G循环看到的可以分享给需要的人
",23445,2019年8月26日,181034
7,"我觉得我是一个很渣的人。
无比重视一段感情，
当失去的时候痛不欲生，
浑浑噩噩的度日子。
但是当这段时间过去后，
我就能很随意的处理这段感情。
干脆果断的将曾经牵肠挂肚的他，
视若旁人
",21653,2019年3月6日,181034
8,"人生是一场归途，我有我的大海，你有你的他乡
",12509,2018年5月21日,181034
9,"此时，听了这歌，我才明白，懦弱卑微的挽留就是在变相让她离开你。
",11203,2018年5月19日,181034
10,"两个人的感情
字多的人输
截屏的人输
存照片的人输
哭的人输
想太多的人输
",7022,6月3日 00:00,181034
11,"新版《你走》已经上线，欢迎体会不一样的纠结
",5011,8月18日 01:41,181034
12,"我总是习惯了为你起高楼，为你坠深沟。无论是识尽乾坤之大，还是看遍山青草木，说到头来啊，不过只是想寻一个倦鸟归处。我是倦鸟，你是归处。不是茶肆也不是酒馆，你是归途。
",4975,2019年1月31日,181034
13,"抱抱彩蛋原来是要两个手指滑动合并啊
",4796,8月3日 16:55,181034
14,"棒棒哒！！！炒鸡好听！！！
",3983,2018年5月6日,181034
