,1,0,time,comments_num
0,"别喷我的喂别给我打电话了 那都是王恩信逼着我说的
",12.4万,2019年5月4日,97195
1,"分手.
祝福你的话都是假的
我倒是希望你四处碰壁
回头看我.
",93496,2019年7月4日,97195
2,"你走以后 心也跟你走了
后来 月明千里是你
蒹葭思念是你
物是人非还是你
",89186,2019年5月7日,97195
3,"以前一直以为只是电影小说里的陈词滥调 直到后来才发现有些人真的错过就回不去了 望珍惜 别遗憾❤️
",52180,2019年5月5日,97195
4,"我就不大度，我就是不喜欢我喜欢的歌被更多人听，我就是不喜欢我喜欢的人过的幸福
",38385,2019年7月23日,97195
5,"咋突然来了这么多人..看得我一愣一愣的
",32145,2019年6月10日,97195
6,"还有 80个单词没有背会 明天第一节课要考 数学大题吭哧瘪肚算半天还是不对 历史的年份大事依旧迷迷糊糊 每科提高25分 才能上浙江理工美术类 可我现在满脑子都是李旭东 得了 晚安
",31307,2019年5月13日,97195
7,"不出意外的话这辈子都见不到了
",28398,2019年6月21日,97195
8,"电影《被偷走的那五年》，男主角的一个朋友的父亲去世，这位父亲答应了要参加儿子的毕业典礼，这位朋友无法面对失去父亲的现实，说出了父亲去世前跟他说过的一句话，安慰自己和当时的男主角。
“
我不需要出席你人生中每一个重要的时刻 只要在每一个重要的时刻 我知道你心里都有我 那我就无憾了。
",24626,2019年6月17日,97195
9,"你的后悔比不上我当时痛苦的万分之一，总不能你一回头我都在吧。
",23912,2019年10月8日,97195
10,"你会不会在多年后某个夜晚 突然惊醒 然后泪如涌泉 后悔当初没有好好爱我
",17964,2019年6月19日,97195
11,"可能这世界让你长大的方式极端了些
",17010,2019年6月19日,97195
12,"唯一一首不舍得删的歌 哎
",13596,2019年5月4日,97195
13,"你走以后，显得洒脱又无情绝不拖泥带水，什么也没留下，不对，在我心里留下深深的回忆无尽的思念，还有满心的痛苦吧
",10182,8月20日 15:35,97195
14,"你离开以后 好多失眠的夜晚都关于你 无数次梦见你 欢乐的悲伤的 也在无数次醒来之后告诉自己这只是梦 想让时间停留在最美好的那段时光 如果有可能多想回到最初重新开始
",8818,2019年8月3日,97195
