,1,0,time,comments_num
0,"露出点马脚吧 让我也觉得你放不下我 你能不能稍微告诉我一声你想我了 小声点 就我们两个听得到 我一定会去找你的 我谁都不要了 让你难过的事 我再也不做了
",39769,8月14日 07:48,42753
1,"最美好的留在最初 最值得的放在最后 美好又值得那都是别人嘴里的故事
",28910,8月14日 15:16,42753
2,"你今天好高产 一次上传了三首
",19082,6月29日 18:27,42753
3,"单数删女友，双数删王者（没事别乱点）
",5174,10月31日 19:14,42753
4,"我总是在你过得不好的时候最爱你 
",3058,8月14日 01:34,42753
5,"现在是八点二十，我坐在外面，天空一片漆黑，身后亮着灯，我抬头看了看天空，忽然对未来很迷茫，不知道以后该怎么办，很快就开学了，可是什么都不会，什么都没收拾好，我不知道该怎么办，就很想哭，妈妈还在外面为了我们的学费，而在努力工作，我真的不知道该怎么办，什么都学不会，我还迷茫
",2843,8月12日 20:23,42753
6,"一个秘密
这个夏天
我喜欢上一个男孩子了
他20岁
身高185
生日314
在辽宁大连
喜欢吃酸菜鱼
喜欢把不开心都写在微博上
身体不是很好
生气的时候心脏会疼手会抖
这首歌
是他一直循环的
是我一直循环的
我们一起循环了
我在偷偷喜欢他
他也在喜欢着另一个男孩子
",2438,9月10日 23:46,42753
7,"我也曾遇到了一个男孩
他会每天早上给我发早安
会在每天晚上给我发晚安
几乎都是秒回我发给他的信息
他会在我难过的时候把我逗笑
或解开我的心结
会叮嘱我好好吃饭
会在我生理期时急得要命
每天都会给我说一大堆情话
我晚起床后会说我是居
然后天天叫我居
为了我把通讯录的异性全删了
看到我和别的男生
",1758,8月14日 11:47,42753
8,"“女孩子不开心真的会月经不调，经常会肚子疼，头晕，视力下降，记忆力下降，掉头发，失眠，想哭。” 
",1672,8月31日 21:01,42753
9,"我58岁，离过两次婚，还带个两个孙子，我不介意你多大，只想跟女朋一场轰轰烈烈的夕阳恋。
",1512,8月20日 07:54,42753
10,"在舔狗没出来之前，有个词叫做深情
",1451,10月20日 22:16,42753
11,"“多读书 不然你的三观都是网络流行语”
",1359,8月30日 18:47,42753
12,"可是我连一点破绽都找不到，到底还是他演技太好，还是本就没有
",1316,8月14日 14:17,42753
13,"这首歌太适合作为婚礼背景音乐了，我每次结婚都用这首歌。
",1216,10月3日 12:03,42753
14,"决定要离开中国了。的确有些不舍，但为了生计别无选择，最近发生了很多事，也承受了许多，如今想通了，我要走了，你们看到这条信息时，我已在路上了，不要为我担心，会照顾好自己，一个人去美国，事情太突然，没跟你们商量别怪我。美国换总统了，我想去试试。
",1211,10月4日 16:06,42753
