,1,0,time,comments_num
0,毛不易创作手记,20.8万,2018年6月13日,116038
1,"听说这首歌的创作灵感来自于毛毛当护士时候护理的一位重病老奶奶，家人儿女放弃了治疗（茫茫人间刺骨凉），老奶奶说没关系~老奶奶的老伴冒着雨（总有大风吹不散的认真，总有大雨不能抹去的泪痕）前来探病，最后老奶奶还是走了……（一道彩虹两个人）指的是这对恩爱的老夫老妻
",12.8万,2018年7月30日,116038
2,"你要相信
他不是走向死亡
他只是走出了时间。
",11.1万,2018年6月13日,116038
3,"我怕别人跟你说晚安，更怕你跟别人说晚安 我怕你会在我看不见的地方陪着别人，也怕有别人陪着你。
",51228,2019年3月10日,116038
4,"借我你的手吧，我用余生来还。
找一块地，一起种豆南山。
风雨无所谓，有你在就是世外桃源。
",33661,2018年6月13日,116038
5,"你说，借是写给那些不自信的人的。
借天地，敬众生。
每次听到还是那么感动，你借的一寸一光照在我心上呀，你借的冽冽暖阳融了坎坷道路呀，你借的悠扬旋律缠绕梦荥啊，来日方长，我们还是我们。
",25188,2018年6月13日,116038
6,"重新编曲的之后的《借》，凄凉更多了几分。加大弦乐的感染，更多层的情感递进，器乐也更丰富，真的是立体版的《借》了。虽然少了大家期待的口哨，但风味还是不减。
",16170,2018年6月13日,116038
7,"还是觉得毛毛的歌，毛毛的创作，配上太复杂的编曲很奇怪。还是一把吉他淡淡的唱最能唱进人心里
",15289,2018年6月28日,116038
8,"其实有些病真的治不了【活着其实更受罪】，我愿相信对方的儿女只是不想让家人再去承受痛苦了。
",12615,2018年12月24日,116038
9,"半夜看到这一段话哭到不行，好扎心
",11981,2018年12月23日,116038
10,"重新编曲的借 这还是我最喜欢的一首啊
",11124,2018年6月13日,116038
11,"太阳东升西落
花开花又落
怎么会有一群人迷失在角落
他们的善良像小丑一样在表演
他们的温柔想猴子一样被玩耍
",10095,2018年6月13日,116038
12,"平凡一生，看似简单却那么难
",9667,2018年6月13日,116038
13,"毛不易像一个诗人
唱遍人间沧桑
薛之谦像一个怪人
写尽人间百态
",8938,3月12日 08:42,116038
14,"医院真是人间百相最多的地方
",8172,2018年12月28日,116038
