,1,0,time,comments_num
0,"小学英语老师得了癌症，给我们带的最后一节课，哭着和我们说这是她最喜欢的一首歌，全班人流着泪听完了歌，时光荏苒，转眼间我已经高中了，老师的面庞已记不清了，可每次听到这首歌时都会想起她，想起那个长发飘飘的温柔善良的老师，老师啊，不知道你的病好了没？我想你了
",24754,2017年6月1日,19766
1,"16岁，她向我表白，我拒绝了，毕业后各奔东西。我们经历了不同的爱情。26岁时，人群中，我向她求婚。她问我，当初你为什么不答应。我说，我想成为你的归宿而不是初恋。现在我们才懂得什么是爱情。
",22770,2017年11月25日,19766
2,"景天，唐雪见，徐长卿，紫萱，记得我第一次看仙剑奇侠传是在小学，可现在都快高三了，没有那部电视剧可以让我记得那么久的，仙剑永远是我们心中最好的仙侠剧。
",20542,2018年7月9日,19766
3,"网易有两个版本，是什么原因让我们聚在此处，大家心知肚明
",7176,6月27日 12:07,19766
4,雪见,5195,2018年10月26日,19766
5,"夕瑶和飞蓬的主题歌应该就是《忘记时间》景天和雪见的主题歌应该就是《光棍》龙葵与龙阳的主题歌应该就是《此生不换》重楼与紫萱的主题歌应该就是《答应不爱你》长卿与紫萱的主题歌应该就是《偏爱》而全剧的宗旨就是《生生世世的爱》
",4671,2018年7月5日,19766
6,"仙剑3的插曲之一，有一幕记忆深刻:一袭蓝装的诗诗，宛若天仙，拿着个破碗，给胡歌喂药
",3509,2015年8月22日,19766
7,"这是网易留给我们的不付费版本么，为啥还是原唱嘞
",2866,4月9日 14:18,19766
8,"#科普评论挑战# 仙剑奇侠传中最可怜的是夕瑶💔，景天不是飞蓬，雪见不是夕瑶，但是景田应该和夕瑶在一起还是和雪见在一起呢？就像天帝老头说的那句话一样，或许作为神的你不懂得珍惜，就让人生脚许你这些吧。
",2077,9月2日 22:29,19766
9,"雪因天而下，葵向阳而开，山因茂成景，邪随天而生，必因天而平，以前总以为仙剑奇侠传是古装剧的开端，直到长大了才明白，它是巅峰
",2028,2019年1月23日,19766
10,"重楼为紫萱折了翅膀，断了犄角，断了其心。也没能让紫萱喜欢上他，不管紫萱怎么努力，她和长卿也没能在一起，为何白子画宁可负花千骨也不肯负天下人，只因这天下人的性命是景天用命换来的！徐长卿潜心修炼成了白子画，就是替景天守护这大好河山，这一世他以白为姓，只是为了那句叫白豆腐的人能认出他！
",1785,3月31日 16:39,19766
11,"希望每个人的归宿都是自己喜欢的那个人
",1410,2019年2月3日,19766
12,"评论区的故事不一样
",1358,4月4日 20:06,19766
13,"后来，紫萱白了发，豆腐成了掌门，龙葵重蹈覆辙，猪婆独守一生，重楼当回了魔尊，茂茂去到了长安，也许，这就是命运
",1186,2019年2月9日,19766
14,"是个有故事的人~愿幸福快乐和她同在！
",1160,2019年5月23日,19766
