,1,0,time,comments_num
0,"像我这样的人
在月光下找寻未来的方向
遭受的惩罚
就是比所有人提前看到黎明吧
",22.1万,2018年6月6日,190826
1,"毛不易从小热爱音乐，却读了护理专业，2016年按部就班的去了医学院实习，一天晚上面对生活，面对未知，试问路在何方，于此写下，像我这样的人，像我这样优秀的人，本该灿烂过一生，怎么20多年来，依旧人海浮沉，其实何止20、30、40、50，有多少人依旧认命中，度过余生#哇哦计划#
",252,11月13日 21:16,190826
2,"你我最后竟然也平凡到自命不凡。
",20.1万,2018年5月31日,190826
3,"有朝一日会成为被喜欢的人觉得大吃一惊 被讨厌的人刮目相看的人
",15.1万,2018年5月31日,190826
4,"像我这样优秀的人，本该灿烂过一生。 怎么二十多年到头来，却在你这里栽了跟。
",89923,2018年5月31日,190826
5,"像我这样的人，就算是一个傻子，也是独一无二的！
",61475,2018年5月31日,190826
6,"山海浮沉，泯然众生，我也不过一界凡人。
",49921,2018年5月31日,190826
7,"高中三年，那个男孩一直惹女孩生气，高考前他们相互约定考完后再说，后来男孩成熟了，女孩也走了，但我还是想把这成熟后的好给你
",45383,2018年10月16日,190826
8,"我并不是不幸福，
也没有什么心理阴影，
也没有吃过很大的苦，
只不过人生的路有点坎坷。
可是，光是活在这世上，
就已经很吃力了。
",43655,2018年5月31日,190826
9,"歌词朴素，听懂的人，乃世故啊。
",42748,2018年5月31日,190826
10,"有那么一个人他吹着口哨，踮着脚，他会紧张会喝酒，他会腼腆会害羞会脸红，会搞怪会神经，像所有普通人那样，长得不算太帅，没有背景没有钱，没有人脉不会说话，或许把他放在人群中都很难寻找到他的身影，但是啊，又有哪里不一样，是才华吧，就像珠子蒙了灰一样，经历了大风大浪，那层暗淡的灰褪去了
",34043,2018年6月2日,190826
11,"有人喜欢你绑着头发的样子 有人喜欢你披着头发的样子 于是你犹豫到底该绑着还是披着 可是你忽略了真正喜欢你的人喜欢你所有的样子 就像我这样的人
",31267,2018年6月2日,190826
12,"喜欢在凌晨听曾经很熟悉的歌。
喜欢抠伤口上的结痂，就算疼也控制不住。
喜欢陪着他玩游戏，虽然我都戒了好久。
喜欢大半夜听他曾经唱过的歌。
喝东西时总控制不住的咬吸管。
偶尔会没心没肺的大笑。
偶尔也会自己安静的坐在一旁。
有时还会没来由的还会想要哭一下。
啊。生活好难
",24552,2018年6月1日,190826
13,"攒一杯柔肠作心殇，饮一壶烈酒话情长。
",17773,2018年6月1日,190826
14,"这首歌的每一段都想一个坎，听完久久迈不过去，终于迈过了，竟会有一丝留恋。
",12578,2018年5月31日,190826
