,1,0,time,comments_num
0,"不要以为你放不下的人也同样放不下你，鱼没有水会死，水没有鱼却会更清澈
",57.4万,2018年12月16日,272725
1,"我太羡慕那些有人保护 有人疼爱的女孩子了
她们可以因为一点小事就委屈的哭鼻子
也不会有人觉得她们娇气
她们可以因为一件小事就大发脾气
也会有人好声好气的哄着
我觉得这些女孩子好麻烦   
可我好想成为这么麻烦的女孩子 💁
",31万,2018年12月16日,272725
2,"不要丧了，没人理你
",23.9万,2018年12月16日,272725
3,"12岁初中遇见了你，一见倾心。
13岁我说喜欢你，你说我们年龄还小。
15岁互有好感，可惜毕业失联。
光阴似箭，日月如梭。
23岁我们终于在一起，绕了一大圈回到原点。
十几岁的感情，并不都代表着幼稚和叛逆，
而是过早的幸运遇到了对的人。
还有23天，你即将成为我的妻子。
余生相依为命，请多多指教。
",20万,2019年1月4日,272725
4,鱼对水说,16.9万,2018年12月16日,272725
5,"人们已经习惯，满怀心事欲言又止。@难桪
",86606,2018年12月16日,272725
6,"你就不该脸红
",72912,2018年12月16日,272725
7,"来生做鱼 7秒快乐 7秒忧伤
想像鱼一样， 忧伤只是七秒 兴奋只如七秒
鱼的世界， 人生只若初见。
",62948,2018年12月16日,272725
8,"我不管,没有鱼的水就是一潭死水
",48723,2018年12月20日,272725
9,"你像鱼一样 分开之后对我只有7秒记忆
",45743,2018年12月16日,272725
10,"老胡说，差一点离婚了，都走到民政局门口了，我突然亲了她一下，她愣了愣。我们领结婚证的那天，我也在那个门口亲过她。才4年啊，爱情就被生活生吞活剥了，她说了一句话，让我特心疼，她说，你好忙啊，说了离婚，你才陪我半天。用了这个理由，下一次我都不知道找什么理由，你才会陪我半天
",37611,2019年4月7日,272725
11,"你像水一样没我快活，我像鱼一样没你不能活
",36261,2018年12月16日,272725
12,""" 寒风凛冽 无星无月 缺一顿火锅 以及一次久别重逢 ""
",31664,2018年12月16日,272725
13,"我才不要相忘于江湖，我想做你的鱼，相濡以沫吧
",22874,2018年12月16日,272725
14,"我已经坚强成淡定 克制 理智 理性的人了
尽管我也想该撒娇就撒娇
想哭鼻子就哭鼻子
但现实不允许我也不允许
尽管我也想被人宠着
但现实就是深吸一口气咬牙切齿的往下走
",22001,2018年12月20日,272725
