,1,0,time,comments_num
0,"很荣幸受邀对《关山酒》进行重新演绎 也感谢词曲作者对我的肯定 💖这个版本的词曲和编曲都进行了重新改编 作为这一版的女声原唱 正版授权 希望大家能喜欢这个重置的全新版《关山酒》我也会继续努力带给大家更多优秀的作品哒!
",97552,2019年8月31日,35686
1,"关山酒，皆入喉，楼中云烟不尽愁
盗将行，何以停，枕风宿雪独自迎 红昭愿，情人念，隔却山海几时恋 落花情，心难平，一种相思花飘零 对黄昏，泪滚滚，骗过天下笑昆仑 多情岸，怎相盼，饮马长川痴情叹 拜无忧，无处愁，千秋荒唐殿上留
",94521,2019年8月31日,35686
2,"人生当苦无妨，良人当归即好
",31095,2019年8月31日,35686
3,"桃李春风已过，少年早已栖身江湖惹得一身江湖气。
每日凌晨三点，开着他爆改的跑车，飙驰在他们曾经走过的街道上。
他只记得她曾经的话",20542,2019年9月4日,35686
4,"你是一树一枯荣 是我最向往的温柔。
",9198,2019年8月31日,35686
5,"我喜欢你胜过削好的水果周末的零食延后的死线冰镇西瓜正中间的那一口肆无忌惮的赖床和空调房里盖棉被的感觉
",9001,2019年8月31日,35686
6,"我自关山点酒，千秋皆入喉。
",8181,2019年8月31日,35686
7,"我想你一次，我院子里的星星便多一颗，如今，哪些零星的欢喜，竟已凑成了银河。
",7766,2019年8月31日,35686
8,"盗将行，何以停，枕风宿雪独自迎
落花情，心难平，一种相思花飘零梦回还，涂山栾，相思树下共婵娟
寄明月，人不绝，来去飘洒痴心掠
广寒宫，人伐桂，玉兔何时捣药成
",7609,2019年8月31日,35686
9,"我见众生皆草木 唯你是青山
",6893,2019年8月31日,35686
10,"典狱司，将军泣，故人终戏谁如意
东风志，忘羡誓，云深不知双骑驰
恨枉生，独守城，踽踽独行心已疯
将厌离，江厌离，道久忘归当厌离
何以歌，陈情和，一痴狂者笛吹彻
琵琶行，虾蟆陵，嘈嘈切切琴声宁
",5857,2019年8月31日,35686
11,"心心念长安，只因长安某。愿能得一醉，借梦归故里
",4973,2019年8月31日,35686
12,"前不久刚听到您的这首歌，❤收藏了。可惜后来才知道原来你是肖战粉丝，尊重您的喜好，而我选择避雷。
",4055,5月27日 20:22,35686
13,"朝暮与年岁共往 然后与你一同行至
",3503,2019年8月31日,35686
14,"與其跟他人互為俗世，不如在心中，自成江湖
",3066,2019年10月13日,35686
