,1,0,time,comments_num
0,"年度最佳虐心再也没有说我放不下你.
",59.1万,2017年5月31日,320564
1,"《全部都是你》把大家整恋爱了，《再也没有》怕是要把大家整失恋了
",41.6万,2017年5月31日,320564
2,"感情里最难熬的放不下大概就是你我两人皆良人，我未曾做过伤天害理的事，你也未曾跨越鸿沟做对不起我的事，只是缘份这东西料却成全不了你我。 所以大抵也就是这般境况的两个人，才会在年华未长，新欢未到的节骨眼里，满满的回忆与经历冲刷在了夜晚的思绪里，历历重现在了白日干活的脑海里。
",28.9万,2017年6月1日,320564
3,"前几天 一姑娘向我表白了 你看啊 我不是没人喜欢 因为她 我明白了不喜欢一个人的决绝 和再三纠缠的厌烦 懂了你的感受 便不再怪你的冷淡敷衍 现在我听着这首歌 喝了点酒 抽了几根烟 删了联系方式 并不是故作颓废 既然不能让你喜欢我 那就不打扰 因为不想被你讨厌啊
",21.6万,2017年6月22日,320564
4,"因为你心已不在这里
",16.7万,2017年5月31日,320564
5,有一次我问他哥哥,14.7万,2017年7月1日,320564
6,"有触动心灵深处吗？？？
",14万,2017年5月31日,320564
7,"年轻时 你做了一个决定
要把自己的生命献给爱情
后来你没死
年轻替你抵了命
",12.6万,2017年6月4日,320564
8,"我梦见你感冒了 发高烧 我想去给你买药送过去 结果在路上就被大卡车撞死了 梦醒后我一阵庆幸 还好是做梦 不然你感冒该没药吃了
",12.1万,2017年6月25日,320564
9,"再也没有去深爱一个人的信念，再也没有去遇见一个人的能力，再也没有平静看待普通事物的平常心，再也没有想要和喜欢的人一起庆祝的冲动。对于一个曾经生活在黑暗里的人，没有什么比光明更重要了，后来有了光明，却发现早已养成了在黑暗里生活的习性。
",89375,2017年5月31日,320564
10,"我骑电动车载了你三年，他的奔驰车送了你三次，你就跟他跑了，还带走了电饭煲，你让我吃什么？
",57996,2018年4月2日,320564
11,"对啊，
你WIFI在线了，应该是起床了
你4G了，应该是出去了
你2G了，应该是不在线在学习
你又4G了，应该在唱歌
晚上4G了，害怕你是跟男生还是女生出去玩？
大半夜你又WIFI了，应该是到家了
深夜你手机离线了，应该是睡了
所以说，什么时候回我呢？
",57250,2018年4月30日,320564
12,"扎心吗
",49184,2017年5月31日,320564
13,"有对夫妻为出生三周就夭折的孩子写了墓志铭:
“墓碑下是我们的小宝贝，他既不哭也不闹，只活了二十一天 ，花掉我们四十块钱。他来到这世上，四处看了看，不太满意，就回去了。”
",47691,2018年6月18日,320564
14,"广交朋友 少碰爱情
",47044,2017年6月2日,320564
