,1,0,time,comments_num
0,"所有的玩笑里，都藏着认真的话，而那些看似没有听懂的回应，大概就是再委婉不过的拒绝。
",4486,11月18日 00:00,6078
1,"爱你们！
",3073,11月18日 00:14,6078
2,"忽然就秋天了，晚风已经凉嗖嗖的了，这是我过的最快，也是最乱的一年.
",2388,11月18日 00:49,6078
3,"再无相见的日子里也请你保重
",2128,11月18日 00:00,6078
4,"从多想在平庸的生活拥抱你入坑到现在，我听到了每一首歌背后讲述的故事，我听到了你在用心的表达所见所闻所想，这一路漫长希望与你作伴不曾离开何来再见
",1985,11月19日 07:15,6078
5,"“再见”这两个字是我最喜欢的告别 因为藏匿着希望和诺言。
",1733,11月18日 01:40,6078
6,"然而你我都心知肚明的是，再见却再也不见。
",740,11月18日 10:47,6078
7,"云山万里别，天地一生孤。
",636,11月19日 01:51,6078
8,"多后悔没有再见
",468,11月18日 00:12,6078
9,"很多人闯进你的生活，只是为了给你上一课，然后转身离开。我们总要在不断的告别中学会成长，即使真的很难过。
",208,11月18日 00:43,6078
10,"值得庆幸的是，对有些关系我现在可以大方的说出我已经尽力了，我也丝毫不会觉得遗憾，该后悔的人，不应该是我.
",169,11月18日 07:25,6078
11,"你放心吧 我会听你的话 好好吃饭好好生活好好照顾自己 剩下的路我可以自己走 对了 祝你新婚快乐
",58,11月18日 00:01,6078
12,"越来越喜欢有趣和温柔的人了，对人礼貌又不卖弄，会去照顾别人的感受，在一起轻轻松松没有压力，也不想再势均力敌的比谁更酷了。
",51,11月18日 00:00,6078
13,"有的人说过再见，就再也不见了。
",44,11月18日 00:15,6078
14,"烟瘾大了。也喜欢被酒精麻醉过后的感觉。也变得邋遢不爱理人，我记得以前我不是这样的阿，怎么就这样了
",33,11月18日 00:57,6078
