,1,0,time,comments_num
0,"你如果真的懂她
在她咄咄逼人
嘴不饶人的那一刻
你就应该知道
她有多难过
可是你不懂
你只会觉得她在无理取闹
",30.9万,2019年11月25日,275600
1,"如果快乐太难，那我祝你想哭就哭。
",23.2万,2019年11月28日,275600
2,"和草莓爷爷、桃玖可爱小姐姐的歌！！[多多大笑]我们是水果沙拉组合！
",17.1万,2019年10月25日,275600
3,"我又把头发剪短了 好像变温柔了 好像过得比以前好 又好像不怎么样 我不清楚
",14万,2019年11月30日,275600
4,"这个冬天我不打算等你了
",10.7万,2019年11月25日,275600
5,"给铁勺姐姐作曲编曲的新歌～
铁勺姐姐唱的真好听
",79015,2019年10月25日,275600
6,"在没有你的世界 再没有你的冬眠
",78758,2019年10月26日,275600
7,偷偷许愿,74967,2019年11月30日,275600
8,"我红肿的眼睛告诉我，我昨天肯定不快乐，今天也好不到哪儿去。
",69233,2019年11月27日,275600
9,"“我来你家要坐车两个小时，回去也要两个小时，然后每次见面，五分钟你就赶我走了，所以我每次五点出门来找你，见你五分钟，九点才能到家”
",54948,2019年12月3日,275600
10,"今年的所有东西我好像都留不到冬天。
",52920,2019年11月22日,275600
11,这歌虽然虐，但是希望以后的每一个冬天，大家都能有陪自己窝在一起冬眠的人[多多比耶]～（ps,51648,1月8日 18:02,275600
12,"今天凌晨3.02分，我女朋友因为新冠肺炎去世了，我们从小一起长大，上同一所高中，上同一所大学，元旦哪天我向她求婚，第二天就因为新冠肺炎住院了，她很坚强，没有掉过一滴眼泪，临走前她对我说，下辈子要早点认识，早点娶我啊。
",36919,3月30日 16:14,275600
13,"如果现实中真的有平行世界，我保证，在那里，我还会奋不顾身的奔向你，对你说我真的喜欢你，我也真的尝试过忘记，可是我做不到，你能交交我吗？求求你了……
",35093,2019年11月27日,275600
14,"还有那种几天 心就像堵住了一样，要深深的呼吸才能缓过来一下，
",11957,2019年12月2日,275600
