,1,0,time,comments_num
0,"人间荒唐市侩，不如山中做怪。
",14.2万,2018年9月28日,571343
1,"网易云大大你知道吗？你买版权的样子真的很帅。
",13万,2019年2月3日,571343
2,"像两只山间女鬼翘腿点烟谈论人间俗世
",11.3万,2018年11月12日,571343
3,"花粥唱歌的两种状态 没睡醒、耍流氓
",68581,2018年12月16日,571343
4,"花粥是一名优秀的少先队员，英雄联盟召唤师，完全贯彻社会主义核心价值观的神秘地下音乐工作者。2012年独自异军突起的清新派民谣歌手，来自新疆，就读于长沙某高校的普通大学生。在同学们着迷流行音乐，花枝招展的勾搭小伙子时，花粥已经抱着一把杂牌吉他创造了中国民谣歌手的诸多新纪录。
",62658,2018年9月28日,571343
5,"谁能道破红尘，知而不言，食而无感，唾而无痕！
",61722,2019年8月3日,571343
6,"""老板 来份花粥 多放点流氓""
",29826,2018年12月23日,571343
7,"有妖一心向善，有人心怀鬼胎
有魔回头是岸，有人迷途不返
有鬼来世投胎，有人自寻死路
有怪欲修人形，有人偏偏作怪
",27645,2018年10月27日,571343
8,"霍，因为自己作品被盗版迅速大火?谁想要这种大火
",23542,2019年4月15日,571343
9,"老哥666
",22386,2018年12月23日,571343
10,"憋唆话，要上网没钱呢，
",21525,2018年12月24日,571343
11,"每次上街耳机里放到粥大爷的歌都会不知觉的走起六亲不认的步伐
",20467,2018年10月25日,571343
12,"《出山》给我的感觉是那种，一首歌就能让我想到一个人举世无双、明明如月的郎君，他可以是撑着伞走在人烟稀少、孤独难行的乡间小径，这里的竹子长得枝繁叶茂，忽而他走过我声旁，让我如沐春风。我依稀看清了他的侧颜，我驻足，向后转，想去追，他却早已离我渐行渐远，我看着他走过桥，下了山。
",19336,2019年2月26日,571343
13,真牛逼啊，哪天你呕心沥血地写出来一篇论文无人知晓，被别人润色一番，得了大奖，到时候我就在一边说,17565,2019年4月15日,571343
14,"“暴躁的人其实挺容易哄
反倒那些看似永远没脾气的人
一旦离开 就无影无踪了”
",17326,2018年12月29日,571343
