,1,0,time,comments_num
0,"挺喜欢一段话 走吧我们去复合去重蹈覆辙互相折磨 但我更喜欢另一段话 算了吧 那段痛不欲生的日子 我好不容易熬过来的 所以 千万拜托你 别再来打扰我了 我还是很喜欢你 看到你的消息还是会心动 听你的语音还是会欢呼雀跃 但我真的该忘记你了 我是真的爱你 但我已经没有那份勇气再去尝试 我也要快乐
",13.5万,2019年12月23日,114865
1,"今天之后白天就比黑夜长啦好好生活～
",98036,2019年12月22日,114865
2,"“你被我安稳的爱着，应该有做任何事的勇气。”
",54293,2019年12月22日,114865
3,"告诉你们哈 因为棉子够直接❤️
",37512,2019年12月31日,114865
4,"此生若能得幸福安稳，谁又愿颠沛流离
",32621,2019年12月22日,114865
5,"我的长进？越来越习惯一个人完成所有事算吗
",26123,2019年12月23日,114865
6,"人生如棋 落子无悔对不起这次真的错过你了
",23923,2019年12月22日,114865
7,"若无相欠 怎会相遇 希望我们会有一个好的结果
",22252,6月22日 00:47,114865
8,"深情的人都是舔狗 希望你爱人留三分 别像我……
",20621,1月3日 04:43,114865
9,"你扛下一切风雨 先我一步成长 然后来宠我 你真的好喜欢我
",20254,2019年12月22日,114865
10,"有一天停下来仔细想想
又不是缺从头再来的勇气
也不是不无道理抓着不放
可每次都想在爱里侥幸存活
到头来每次的勇气都是一个教训
",15220,2019年12月23日,114865
11,"“想和你在图书馆的下午，蜷缩在你身边听着关于我爱你，曲尾不停循环一句‘我爱你’时我摘下耳机塞到你的耳朵里。” 
",14202,2019年12月22日,114865
12,"终于等到你 还好我没放弃
",9013,1月2日 15:45,114865
13,"我什么都关注着你，可惜我没勇气说我爱你！
",8823,2019年12月22日,114865
14,"如果是我，我会选择前者，哪怕赴汤蹈火，我还是愿意去是试一试，哪怕最后被挫骨扬灰
",7860,2019年12月24日,114865
