,1,0,time,comments_num
0,"我好像找到了那个只对我有感觉的人
",24993,6月13日 00:05,24058
1,"夏天迟暮的霞光，正如皆是笑意的你
",15650,6月13日 06:54,24058
2,"光是可爱还是不够
我要成为你们眼中的成熟男生
",15023,6月13日 13:19,24058
3,"买菜 好高冷 唱的像只对你没感觉
",11236,6月13日 10:02,24058
4,"唱出了心如死灰的感觉，像极了无理取闹的女朋友逼自己的男朋友唱的。
",8985,7月8日 11:21,24058
5,不觉得，这个声音很慵懒吗？就像学生时代里，那个痞帅痞帅的男生，冷冷淡淡的，放荡不羁。但是遇到了喜欢的人，笨拙、害羞又不知所措，只能一遍一遍的以自己的方式对她说,6908,6月13日 16:00,24058
6,"现在全网络唱歌的都是这种声音
",5454,7月2日 07:02,24058
7,"分手就分手，你登我号骂班主任是不是玩不起
",4458,7月28日 23:50,24058
8,"妈妈说男孩子是有爱情的 而女孩子没有 谁对她好她就跟谁走了 我想了半天 发现这句话好像是真的耶……
",3803,6月13日 00:28,24058
9,"兜兜转转人间 天色迟暮 晚霞披上天空 我吹着夏天的风 咬着棒棒糖 在街上乱逛 嘈杂的声音中我无意听到了某个门店放着你的歌 瞬间 我便移不动脚
",3303,6月13日 00:00,24058
10,"本来这是一首轻快甜蜜的恋爱歌曲，但是却用这深沉的歌声去演唱，你觉得这合适吗
",2682,7月13日 22:19,24058
11,"真的好喜欢他呀 喜欢得不得了 别人再好我还是只喜欢只喜欢只喜欢只喜欢只喜欢他 暗恋真的很烦人唉 我就是藏匿在这世上偷偷喜欢他的胆小鬼
",2341,6月13日 00:58,24058
12,"为什么那么甜的歌唱得那么疲惫啊
",2054,6月13日 11:22,24058
13,"气息不稳，低音下不去，高音上不来，没有感情融入
",1702,7月31日 07:47,24058
14,"这就是我和这位歌手的区别
",1494,7月31日 07:47,24058
