,1,0,time,comments_num
0,"伟锋写给他爱的人，所以希望你们也能遇到对的人，嗯
",62.6万,2018年4月28日,477671
1,"你后悔吗，关于我
",34.9万,2018年8月11日,477671
2,"我想一刀捅死那个女的
不过后来想想还是算了
你喜欢的……我得护着啊
",32.7万,2018年8月20日,477671
3,"承认吧 我们都是在夜里奔溃过的俗人
",26.6万,2018年8月15日,477671
4,"你离开不久电影《爱情公寓》上映 我买了两张票 在电影院最角落 人特别多 有说有笑的 我的头尽量的靠在旁边的空椅子上 直到所有人都走了 我对着旁边的空位置说了声 我爱你 起身 走人 外面下着小雨 这个雨天有点冷啊
",25.4万,2018年8月14日,477671
5,"可以对我好点吗 我真的 不想喜欢别人....
",14.8万,2018年9月13日,477671
6,"但我们之间 连可能都没有 谈如何可以
",13.3万,2018年8月17日,477671
7,"我猜你在跟你现任一起打电玩的时候，你一定会记得，我为了陪你玩电玩，错过了2班火车；我猜你现任给你买零食的时候，你一定会记得，那天下着雨，我冒雨给你送好吃的挂在你家门口的狼狈；我猜你在跟你现任漫步的时候，你一定会记得，我教你认识的那颗夜空中最亮的北极星。这首可不可以，好想唱给你听。
",11.3万,2018年5月2日,477671
8,"我也想有一个男孩子真的看得见我对他的好 陪他打游戏 陪他吃饭 陪他度过最艰难的时刻 不嫌弃他的任何 我保证 我会用心爱你 只要你也用心爱我 我也想做一个被保护的小宝贝
",90991,2018年8月16日,477671
9,"把两千多评论从头到尾翻了个遍
然后松了一口气
不出所料 没有你的评论
很好听的一首歌
很幸运在你我网易云互相取关的情况下还是偶遇了它
西亚斯我是没机会再去了
1800多天 差一点点 就是整个青春
但我不后悔 只是有点遗憾
希望你过的好 现在 未来 都好
再见啦 曾经的英雄
",79350,2018年5月11日,477671
10,"12年，西亚斯，我们同班，就在那个夏天我们在一起了。2018，我俩已结婚一年，回忆校园，美好单纯，希望未来，更好。和歌词一样，我可以接受你的所有，所有小脾气
",72794,2018年4月28日,477671
11,"我今天吃鸡 匹配到了一个男生 声音跟我前任很像 简直一模一样 我突然不敢说话了 安静的听他说话 直到他说了一句话 我的眼泪就止不住了 你猜猜 他说了什么 他说 你怎么跟我前女友一样菜
",70489,2018年9月8日,477671
12,"我已经对着一个有红色感叹号的人聊了286天了
",64556,2018年8月22日,477671
13,"范小姐 对不起 我因为太爱你 编谎言骗你 我爱的沉重浑浊 这是你最常听的一首歌 我已经没有你的任何联系方式了 一直都是你在忍受我的小脾气 一直长不大的都是我 我知道等一个男生长大 真的挺难的 如果可以再给我一次机会 我一定会好好珍惜 我知道我把你伤透了 如果再来一次 不要再分开了 可不可以.
",32873,2018年10月4日,477671
14,"女生眼里的分手都是从你有新欢的那一刻开始才算真正分手的 
",28815,2018年8月30日,477671
