,1,0,time,comments_num
0,"我猜是林俊杰打dota写的…选个沉默大招没放好（不该沉默时沉默），该勇敢时软弱（该上的时候怂了）
",27.1万,2015年6月8日,155448
1,"看了好多评价，关于林俊杰咬字的问题。给大家解释一下""把该说的话好好说
该体谅的不执着""这两句一共唱了三次，第一次咬字模糊不清，第二次咬字略好，第三次则是清晰无比。代表一种由怯弱变成后悔而呐喊的复杂情感。这是一种巧妙的设计，大家可以看看MV，其实是非常非常赞的一部微电影~
",16.1万,2015年4月6日,155448
2,"谢谢林俊杰代表前男友们含泪忏悔
",13.4万,2015年6月12日,155448
3,"我觉得他那么唱是故意的，你们听，第一段副歌是最不好好咬字的，配合那句歌词“把该说的话好好说”一开始就不好好说，所以模棱两可，感觉声音糊住了一样。第二段副歌的时候已经开始明朗了，到最后第三段副歌，那个清晰啊，开始后悔当初为什么不好好说
",67095,2015年5月23日,155448
4,"林夕把“得不到”换了一千种说法
",60568,2015年5月22日,155448
5,"火车上邻座的女孩儿靠在我肩上睡着了，像只小猫一样蜷成一团，任长发铺在我的肩上。很奇妙的感觉，我静静坐着，一动不动，感受着这一切。谢谢你，让我假装有了两个小时的女朋友。
",47516,2016年3月19日,155448
6,《东邪西毒》里有段台词,37227,2014年12月28日,155448
7,"伙计梦，这次上架在下也是尽力了。希望这首歌可以在考研这场大战的前夕给乃们加油。遥祝各位平常心，心平常。无惧战场，从容不迫，最后的战役，Fighting，因为，成败自留香。
",32115,2014年12月26日,155448
8,"说吐字奇怪的看过来第一段整体有点模糊不清的感觉，很明显唱腔变了，听到第二段，咬字变清晰。原来一开始是迷茫，轻轻呓语，自言自语，后面是想明白后的反省，如果当初换一种方式或许结果会大不一样，最后结尾道出所有的一切都是假设，可惜没如果，只剩下结果～
",27455,2015年3月18日,155448
9,"特别特别想他的那天晚上，凌晨开车一个多小时到他家楼下，犹豫了一夜，没有给他打电话，没有见他，一直在车里听歌坐到了清晨，一个人去吃了在一起时很喜欢的那家早餐，然后回家睡了整整一天，醒来生活还是要继续。
",17887,2017年12月4日,155448
10,"我守在中印的边境，听说今天是你结婚的日子。 我仿佛眨眼之间还能看到当初你说爱我的时候眼中泛着的涟漪。 我好无力好想哭。可是我不能，我除了是爱你的人，更是一名中国人民解放军战士。
",17140,2019年2月10日,155448
11,"要得过且过 才好过
",15691,2017年5月16日,155448
12,咬字发音的问题有看到过个分析,15570,2015年6月21日,155448
13,"词是林夕写的 由此推断 林夕经常跟JJ打Dota
",13396,2018年12月20日,155448
14,"""人这一生，总是要放弃一些东西的。""
""包括我？""
""对，包括你。""
",12253,2019年7月6日,155448
