,1,0,time,comments_num
0,"所幸南风知我意，吹梦渡我到西洲
",29.9万,2019年7月10日,85725
1,"遥闻海水梦幽幽，君愁相思我亦愁
",19.1万,2019年7月10日,85725
2,"黄诗扶最近是霸占了我的听觉！
",91482,2019年7月10日,85725
3,"女子无情时负人最狠女子深情时感人最深
",73836,2019年7月10日,85725
4,"“你呀，是西子湖上的潋滟光，万重山外的舟一方，是俯身轻吻湖面时，微微皱眉的小月亮。”
",57113,2019年7月10日,85725
5,"悠悠复悠悠，昨日下西洲。
西洲风色好，遥见相思楼。
开门郎不至，尽日栏杆头。
栏杆十二曲，垂手明如玉。
忆郎郎不至，望郎上青楼。
他日相寻索，莫作西洲客。
海水梦悠悠，君愁我亦愁。
南风知我意，吹梦到西洲。
",47714,2019年7月10日,85725
6,"《吹梦到西洲》歌名取自南朝乐府民歌《西洲曲》
“南风知我意，吹梦到西洲”
一句，充满了魏晋风流的韵味。
歌词清俊浪漫，大胆幻想，描绘了画中“西洲”这样--个幽暗不明、飘渺难求的桃花源，而自己所倾慕向往的女神置身其中，游乐翩跹，眼眸含情，似是在画里发出相识相知的邀请。
",40345,2019年7月10日,85725
7,"思君令人老，岁月忽已晚。弃捐勿复道，努力加餐饭。
",20871,2019年7月10日,85725
8,"东见往来客，北有零丁愁
南风知我意，吹梦到西洲
",18205,2019年7月10日,85725
9,"南风知我意 你会懂我心吗
",15702,3月15日 14:13,85725
10,"南风知我意，吹梦到西洲。
",14481,2019年7月10日,85725
11,"你眼里有春有秋 胜过我见过爱过的山川河流
",13078,2019年7月10日,85725
12,"“休对故人思故国，且将新火试新茶，诗酒趁年华。”
",10173,2019年7月10日,85725
13,"南浦凄凄别，西风袅袅秋。
",9932,2019年7月10日,85725
14,"手中流沙 画一曲红尘相送
",8125,2019年7月10日,85725
