,1,0,time,comments_num
0,"“这天下，风情千万般，值得觊觎一眼”
",15.2万,2019年12月29日,32902
1,"说下歌词概况。贺今朝曾经羡慕闲云野鹤，想做什么做什么，想去哪就去哪。但等他真正踏过山水，行路些许后，才发现天地山河，都比不上黎复照眉间风月，也不由地想起曾经和黎复照一起喝酒，笑说敢跟他姓的场景。
人生如一场宴会，来得人多，去的人也多，但从始至终，唯独他一直在。
",85979,2019年12月29日,32902
2,"感谢全制作组的努力和不厌多次的琢改。
",51551,2019年12月29日,32902
3,"“这山河看着久了也就这模样，抵不过阿照眉目里头半分风月。”
",40084,2019年12月29日,32902
4,"看不懂歌词的小伙伴看这里！
故事原文指路",30368,2019年12月29日,32902
5,"最爱那句“桃花醒自然 星斗睡河汉”🌹
",26278,2019年12月29日,32902
6,"“哦？那你倒是中意什么人？”
风儿拂着那人平平的声音从前面传来，贺今朝抬眼看着依旧没转过身的黎复照一个恍惚。 这大抵便是所谓“人间多景致，山河映双归，曾经眉目皆山河，现在目光所致皆是你。” PS",20453,2019年12月30日,32902
7,"贺今朝忽然明白了什么，于是背着包袱回来了，并约了黎复照一起夜游。见面时，黎复照竟然送了他一盏花灯，上面绘着他亲手画的山河湖海。黎复照指着灯盏说，随便挑一座山头，今后我陪你一同去。然而，如今啊，贺今朝对这些都不再眼馋了，因为他已经寻觅到世间最好的风月。最终贺今朝吹灭了花灯。
",19947,2019年12月29日,32902
8,"我可太喜欢这首歌了！[多多大哭]
",18713,2月6日 21:27,32902
9,"曾经想成为闲云野鹤，想做什么做什么，想去哪就去哪。等踏过山水，行路些许后，才发现天地山河，都比不上他眉间风月。
",12437,2019年12月29日,32902
10,"这天下风情千万般 就在他山眉海目间
",9795,2019年12月30日,32902
11,"贺今朝往边上挪了挪，能把身子靠在外栏上稳住了，这才借着醉意骂了声祖宗，顾自喃喃，“先前喝醉了还能靠阿照那块木头，现在只能倚着这冷冰冰硬邦邦的死木头。这山河看着久了也就这模样。”
嘴上说着，心里不由接了一句",8924,1月20日 15:47,32902
12,"如月当空，偶以微云点河汉。在人为目，且将秋水剪瞳神。
——张岱
",8298,1月11日 20:30,32902
13,跟《观风月》夏篇的故事有关噢，故事里说,7745,3月22日 23:03,32902
14,"冒昧的问一句，这是唱的两个男的吗（无恶意，抵制耽美者别骂，单纯想问，如果不是，请友好回复）（狗头保命）
",7401,5月28日 17:38,32902
