,1,0,time,comments_num
0,"下辈子做只猫 白天你上班养我 我在家晒太阳玩你领带踩你底裤 晚上你抱着我睡觉 你带回来的女朋友我把她们的脸全他妈抓花
",11.2万,2016年6月9日,74272
1,"开始以为在身边多放一张板凳你就会坐到我身边 再摆一副碗筷你就能跟我一起吃饭 换一张双人床你就能陪我睡去 可是我一直等不到你来 我就把腿翘到了另一张板凳上 吃掉多出来的一份饭 在更大的床上辗转难眠
",87866,2017年9月13日,74272
2,"我已经不会在寂寞时爱上突然出现的人，我开始分得清心动和需要，我做到了浅尝而止。你离开后没有人比得上你。他们没有你说话可爱的语气，没有讨我喜欢的眼睛，不会惹我生气又哄我开心。我知道你那时也没有对我很真心，你的好也是出于我的崇拜后过分放大出来的，可这些人装都装不过你的半分温柔和绝情。
",68233,2016年6月8日,74272
3,"错过了一个翻我手机的女人，剩下的都是来翻我钱包的。
",46978,2016年10月11日,74272
4,他和她分手三个月了，但依旧像分手时约定的做了朋友，他帮她如愿弄到了陈老板在北京的演唱会的VIP票。她打电话过去致谢,38928,2016年7月31日,74272
5,"是个烂人 但要活得像诗人
",22781,2016年6月8日,74272
6,"今天有没有恋爱 希望你永远不要恋爱
",21547,2016年6月18日,74272
7,"今天约了一个暗恋好久的女生出来吃饭 发现没有带钱 值得庆幸的是 她像往常一样 并没有赴约
",18146,2016年11月30日,74272
8,"我觉得这首歌讲的是男孩子是一个浪子在撩女孩子 才没几天而已就说对女孩是真爱 女孩子一直都没有答应 自己却也在慢慢动心 但是因为男孩很花心显得很无奈 想答应又不敢答应…男孩子想要放弃女孩子 责怪她不爱他所以要离去 女孩很难过觉得男孩虽然撩了 但是是不够真心。越听越无奈～
",17184,2017年2月6日,74272
9,"2017年5月20日全国首演（成都）_感同身受， 购票请登录[乐童音乐]手机app搜索“fine乐团”，感性之声在爱的日子，晚上八点见`
",11962,2017年3月1日,74272
10,"《我发现你》的《呼吸决定》我的《感性》，总觉得《没有人不比我快乐》，因为常常《还是会想你》，《想你》曾给我的《剧本》，或许早已《习惯》你的谎言。 ----致Fine乐团
",11584,2016年11月16日,74272
11,"有时羡慕情侣 有时贪恋自由 有时什么都不怕 有时又怕没结果
",11175,2016年10月20日,74272
12,"之后他可能会遇到很爱并想在一起一辈子的人 然后为了她的安全抛弃你这只猫
",8221,2018年12月24日,74272
13,"然而我听到最后也点了红心...好奇怪
",7372,2016年1月10日,74272
14,"从小色盲 在前男友的帮助下看到了绿色
",3581,8月23日 00:58,74272
