,1,0,time,comments_num
0,"我想你不知道我的嗜好，那你就看这句话的前三个字就好。 希望这首《嗜好》你们会喜欢[多多可怜]（评论区抽一把我亲自挑选的告白神器，不不…是吉他啦哈哈
",70918,2019年9月21日,84604
1,"嗜好只成瘾 爱你却入魔
思你欲得你 得你惧失你
",66623,2019年9月21日,84604
2,"唯一嗜好就是每天雷打不动的给你发一句晚安，
表白对于我这种胆小鬼来说比追风还难，
但我还是会去找一个最有可能的夜晚，
鼓起勇气将这些孤单心事告诉你，
然后祝你爱我到天荒地老。
",46675,2019年9月21日,84604
3,"和一个女生恋爱了三年。被输入法牢牢记住，结束了这么久，却用了好长好长时间，把输入她名字后自动跳出来的“晚安”换成了“再见”。
",34106,2019年9月21日,84604
4,"“你是白色衬衫，是西瓜，是雷雨，是夏季限量供应的所有。每一年我等待夏天，也等待你。尽管，风吹起来的时候我也爱秋天，穿起毛绒绒的大衣的时候我也爱冬天，花开的时候我觉得春天也很好，可我还是盼望夏天，也盼望你。” 
",26724,2019年9月21日,84604
5,"如果你整天这样死宅着不读书不运动不节制消费不反省不自律无兴趣无爱好无目标无任何期望，
生活是不会变好的。
如果你不甘心当一个嗜好太多能力太小的普通人，那就请你现在立刻马上开始努力吧！
那个发着光的未来在等你~
",22098,2019年9月21日,84604
6,"我唯一的嗜好 那便是喜欢你
",21549,2019年9月21日,84604
7,"喜欢一个不可能在一起的人是什么感觉？ 小巷
又弯又长
没有门
没有窗
我拿把旧钥匙
敲着厚厚的墙
——顾城《小巷》
",17114,2019年9月21日,84604
8,"单身第七年！上一段感情给的伤害让我七年来不再敢触碰任何感情，不对任何人动心，转眼已经单身七年了，转眼25岁，开始期待着也有一份真爱能来到我身边，那我愿意尝试打开我封闭已久的❤️
",11831,2019年9月21日,84604
9,"希望有一天打开你的最近播放，不会再出现我推的歌曲，希望你真的拔完那颗牙就会忘了我，希望你每天都可以开心，希望我不会再是你的嗜好
",11802,2019年9月21日,84604
10,"最怕一段好好的感情突然没了，你觉得你没错，我觉得我也没错，硬生生把所有难过往肚子里咽，不说想你。
",8137,2019年11月1日,84604
11,"开心时会听你的歌 因为太甜了❤
伤心时会听你的歌 因为句句入心😶
白天时会听你的歌 因为可以提精神🤗
夜晚时会听你的歌 因为可以催眠我入睡🎵
打开网易云 就找 颜人中 三个字 🤔
因为是你的声音治愈了我... 渐渐的习惯了😍
怎么就这么惹人喜欢呢！讨厌~😁
",5362,2019年9月21日,84604
12,"为什么一个女孩子爱着一个男孩子却可以做到不联系
",4469,3月18日 22:06,84604
13,"珍惜学生时代的尾巴 我真幸运 还能遇到遇到这样的你 我也知道你对我有意 相信我 我们终会走到一起的！
",4131,2019年9月21日,84604
14,"“为什么分手后女孩总是发各种动态，而男孩子却一言不发，和夜一样安静。”
",4129,3月27日 22:08,84604
